name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
スタンダード爆弾ベイ,bomb,1,,200,2000,,400,,50,15,4,10,,,HIGH_EXPLOSIVE,0,,0,0.67,1,,20,20,0,0,,170,20,25,150,,,"STRIKE, BOMB","he0, no_sell, no_drop, no_drop_salvage",,,,Strike,,,,,,,,,TRUE,3.5
ライトニードラー,lightneedler,3,0.3,800,700,,50,,1,20,8,,,,KINETIC,40,,0,4.3,15,0.05,0,10,0.66,5,,1200,,,10,,,,"kinetic9, LR, remnant, rare_bp, hist1t, merc, ind",,,,Anti Shield,,,,,,,,,,3.65
レールガン,railgun,2,0.5,600,700,,100,,10,30,7,,,,KINETIC,90,,0.6,0,1,,,,,,,1000,,,50,,,,"kinetic8, LR, remnant, rare_bp, hist1t, merc, ind",,,,Anti Shield,,,,,,,,,,3.75
サンプラー,shredder,0,,700,700,,100,,1,25,7,60,5,20,FRAGMENTATION,25,,0,0.55,20,0.05,0,7,1,20,,800,,,30,,,,"kinetic8, base_bp, ind",,,,General,,,,,,,,,,3.8
ヘビーマシンガン,heavymg,2,,1200,450,,40,,3,40,10,,,,KINETIC,15,,0,0.2,4,0.1,0,5,1,15,,700,,,30,,,"PD,PD_ALSO","kinetic11, pd10, SR, midline_bp, merc, ind",,,,Point Defense,,,,,,,,,,3.85
ヘビーモーター,heavymortar,0,,600,700,,110,,12,30,7,,,,HIGH_EXPLOSIVE,90,,0,0.7,2,0.3,0,20,5,5,,500,,,30,,,,"he11, base_bp, merc, ind",,,,Anti Armor,,,,,,,,,,3.9
フラック砲,flak,1,,1000,500,,200,,10,40,8,,,,FRAGMENTATION,50,,0,1,1,,0,10,2,10,,700,,,30,,,PD,"pd13, SR, lowtech_bp, merc, ind",,,,Point Defense (Area),,,,,,,,,,4
アルバレストオートキャノン,arbalest,0,,800,700,,200,,10,12,8,,,,KINETIC,150,,0,1.2,1,,0,15,5,10,,800,,,30,,,,"kinetic12, base_bp, ind",,,,Anti Shield,,,,,,,,,,4.125
デュアルフラック砲,dualflak,2,,1400,400,,150,,10,60,12,,,,FRAGMENTATION,50,,0,0.333333,1,,0,10,2,10,,700,,,30,,,PD,"pd15, SR, remnant, rare_bp, merc, ind",,,,Point Defense (Area),,,,,,,,,,4.25
アサルトチェインガン,chaingun,1,,1000,450,,75,,3,30,10,,,,HIGH_EXPLOSIVE,60,,0,0.15,1,,0,20,1,10,,800,,,30,,,,"he15, SR, lowtech_bp, midline_bp, merc, ind",,,,Anti Armor,,,,,,,,,,4.5
ヘビーマウラー,heavymauler,3,0.3,2000,1000,,200,,10,20,12,,,,HIGH_EXPLOSIVE,200,,0,4.4,3,0.3,0,5,1,10,,900,,,30,,,,"he16, LR, remnant, rare_bp, merc, ind",,,,Anti Armor,,,,,,,,,,4.75
ヘビーオートキャノン,heavyac,1,,1000,800,,100,,10,7,10,,,,KINETIC,90,,0,1,3,0.2,0,18,3,10,,800,,,30,,,,"kinetic14, lowtech_bp, merc, ind",,,,Anti Shield,,,,,,,,,,5
ハイパーボルテージドライバー,hveldriver,3,0.3,2250,1000,,275,400,40,10,13,,,,KINETIC,350,,0,2,1,,,,,,,1000,,,300,,,,"kinetic15, LR, remnant, rare_bp, merc, ind",,,,Anti Shield,,,,,,,,,,5.5
ヘビーニードラー,heavyneedler,3,0.3,2500,700,,50,,1,15,15,,,,KINETIC,40,,0,4.55,30,0.05,1,10,0.5,5,,1200,,,10,,,,"kinetic15, remnant, rare_bp, hist1t, merc, ind",,,,Anti Shield,,,,,,,,,,5.75
ガウス砲,gauss,3,,5000,1200,,700,,300,3,25,,,,KINETIC,1200,,1,1,,,,,,,,1200,,,400,,,,"kinetic20, LR, remnant, rare_bp, hist1t, merc, ind",,,,Anti Shield,,,,,,,,,,6
ヘファイストスアサルトガン,hephag,1,,4000,900,,120,,5,20,20,,,,HIGH_EXPLOSIVE,110,,0,0.25,1,,0,5,1,5,,800,,,50,,,,"he18, lowtech_bp, midline_bp, merc, ind",,,,Anti Armor,,,,,,,,,,7
マークIXオートキャノン,mark9,0,,3000,900,,200,,20,10,18,,,,KINETIC,200,,0,2,4,0.1,0,15,2,10,,800,,,100,,,,"kinetic18, base_bp, merc, ind",,,,Anti Shield,,,,,,,,,,7.25
デバステーターキャノン,devastator,1,,3500,900,,150,,40,12,20,,,,HIGH_EXPLOSIVE,75,,0,2,12,0.1,5,30,5,5,,700,,,100,,,"PD,PD_ALSO","he16, pd17, lowtech_bp, merc, ind",,,,Anti Fighter (Area),,,,,"Each shell has a fuse set to explode at a random distance, resulting in a barrage that's increasingly more deadly at closer ranges.

Will target missiles if no other targets are in range.",,,,,7.4
ミョルニルキャノン,mjolnir,2,0.4,6000,900,,400,200,10,25,24,,,,ENERGY,500,,0,0.75,1,,0,5,1,10,,900,,,75,,,,"energy18, he17, kinetic17, remnant, rare_bp, hist1t, merc, ind",,,,General,,,,,,,,,,7.5
ヘルボアキャノン,hellbore,0,,3000,900,,750,,200,5,16,,,,HIGH_EXPLOSIVE,750,,0,3,1,,0,10,5,10,,500,,,400,,,,"he18, lowtech_bp, merc, ind",,,,Anti Armor,,,,,,,,,,8
ストームニードラー,multineedler,3,0.4,6500,700,,50,,20,15,28,60,10,30,KINETIC,35,,0,0.05,1,,0,5,0.25,5,,1200,,,20,,,,"kinetic19, remnant, rare_bp, hist1t, merc, ind",,,,Anti Shield,,,,,,,,,,8.5
リーパー級魚雷,reaper,1,,200,1200,,4000,,75,10,2,1,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,0,,400,100,3.5,500,,,STRIKE,"strike8, rocket3, missile_bp, merc, ind",,,,Torpedo,Fast,None,,,,,,,TRUE,9
アトロポス級魚雷ラック,atropos,2,0.5,600,1200,,1000,,40,10,3,2,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,400,150,4,300,,,GUIDED_POOR,"strike9, missile1, missile_bp, merc, ind, reload_3pt",,,,Torpedo,Fast,Good,,,,,,,TRUE,9.5
アトロポス級魚雷（シングル）,atropos_single,2,0.5,300,1200,,1000,,40,10,1,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,400,150,4,300,,,GUIDED_POOR,"strike7, missile0, base_bp, ind, reload_1_and_a_half_pt",,,,Torpedo,Fast,Good,,,,,,,TRUE,9.75
ハンマー級魚雷,hammer,0,,150,1200,,1500,,30,10,2,2,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,500,40,4,350,,,STRIKE,"strike6, rocket2, base_bp, ind",,,,Torpedo,Fast,None,,,,,,,TRUE,9.8
ハンマー級魚雷（シングル）,hammer_single,0,,75,1200,,1500,,30,10,1,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,500,40,4,350,,,STRIKE,"strike5, rocket1, base_bp, ind",,,,Torpedo,Fast,None,,,,,,,TRUE,9.9
スウォーマーSRMランチャー,swarmer,1,,250,1000,,100,,15,50,3,80,,,HIGH_EXPLOSIVE,0,,0,5,4,0.2,0,0,0,0,,300,100,5,50,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility8, missile0, missile_bp, merc, ind",,,,Anti Small Craft,Fast,Excellent,,,,,,,,10
スウォーマーSRMランチャー（戦闘機）,swarmer_fighter,1,,250,1000,,100,,5,50,4,2,0.075,,HIGH_EXPLOSIVE,0,,0,5,2,0.2,0,0,0,0,,300,100,5,50,,,"ANTI_FTR, DO_NOT_AIM, SYSTEM,DO_NOT_CONSERVE","utility8, missile0, show_in_codex",,,,Anti Small Craft (Fighter),Fast,Excellent,,,,,,,,10
アナイアレーター・ロケットランチャー,annihilator,0,,150,1500,,200,,5,30,4,50,,,HIGH_EXPLOSIVE,0,,0,5,5,0.2,0,0,0,0,,400,50,3.75,50,,,CONSERVE_1,"rocket7, strike0, missile_bp, merc, ind",,,,Anti Armor,Fast,None,,,,,,,,11
アナイアレーター・ロケットポッド（戦闘機）,annihilator_fighter,0,,150,1500,,200,,5,30,4,5,,,HIGH_EXPLOSIVE,0,,0,0.1,1,,0,30,15,10,,400,50,3.75,50,,,SYSTEM,"rocket13, strike8, show_in_codex",,,,Anti Armor (Fighter),Fast,None,,,,,,,,11.1
サラマンダーMRM,heatseeker,1,,225,2000,,100,1500,15,30,3,,,,FRAGMENTATION,0,,0,25,1,,0,0,0,,,400,50,15,150,,,"DO_NOT_AIM, HEATSEEKER","utility13, missile0, missile_bp, merc, ind",,,,Anti Engine,Fast,Excellent,,,,,,,TRUE,11.25
ハープーンMRM,harpoon,1,,200,2500,,750,,15,30,4,3,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,,,300,100,12.5,150,,,DO_NOT_AIM,"missile8, strike3, missile_bp, merc, ind",,,,Finisher,Medium,Medium,,,,,,,TRUE,11.5
ハープーンMRM（ダブル）,harpoon_single,0,,100,2500,,750,,15,30,2,2,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,,,300,100,12.5,150,,,DO_NOT_AIM,"missile6, strike1, base_bp, ind",,,,Finisher,Medium,Medium,,,,,,,TRUE,11.6125
ブリーチSRM,breach,1,,200,1500,,150,,15,10,3,15,,,HIGH_EXPLOSIVE,0,,0,9,3,0.5,0,0,0,,,400,50,5,450,,,"DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD","missile7, base_bp, merc, ind",,,,Anti Armor,Fast,Good,,,Each missile deals an additional %s damage to armor. This damage is not reduced by armor.,250,,,TRUE,11.7
サボットSRM,sabot,1,,200,1200,,100,,15,30,4,3,,,KINETIC,0,,0,1,1,,0,0,0,0,,150,50,8,300,,,GUIDED_POOR,"missile8, strike2, missile_bp, merc, ind",,,,Anti Shield,Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 200,,,TRUE,11.75
サボットSRM（ダブル）,sabot_single,0,,100,1200,,100,,15,30,2,2,,,KINETIC,0,,0,10,1,,0,0,0,0,,150,50,8,300,,,GUIDED_POOR,"missile6, strike0, base_bp, ind",,,,Anti Shield,Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 200,,,TRUE,11.85
サボットSRM（単発、戦闘機）,sabot_fighter,0,,100,1200,,100,,15,30,1,1,,,KINETIC,0,,0,1,1,,0,0,0,0,,150,50,8,300,,,"GUIDED_POOR, SYSTEM","missile6, strike0, show_in_codex",,,,Anti Shield (Fighter),Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 200,,,TRUE,11.85
ゴルゴンDEM SRM,gorgon,1,,250,1500,,800,,15,30,4,4,,,ENERGY,0,,0,4,1,,0,0,0,0,,300,75,6,250,,,DO_NOT_AIM,"missile8, strike4, merc, rare_bp, damage_special, damage_soft_flux",,,,Assault / Finisher,Medium,Good,,,"The missile fires a high-powered laser when it gets near the target, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",800,,,TRUE,11.9
    ゴルゴン - ペイロード,gorgon_payload,1,,0,700,800,,,,30,0,,,,ENERGY,0,,0.05,0.25,0.9,0.5,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,11.91
ゲイザーDEM SRM,gazer,2,,250,1200,,200,,15,30,4,6,,,KINETIC,0,,0,15,1,,0,0,0,0,,150,25,5,250,,,DO_NOT_AIM,"missile6, merc, rare_bp, damage_special, damage_soft_flux",,,,Suppression,Slow,Good,,,"The missile fires a graviton beam at the target, dealing approximately %s kinetic damage over the course of %s seconds. This damage is affected by missile damage modifiers and not energy weapon ones.",1000 | 10,,,TRUE,11.94
    ゲイザー - ペイロード,gazer_payload,2,,0,1000,100,,,20,30,0,,,,KINETIC,0,,0.1,0.1,10,0.5,,,,,2400,,,,,,,SYSTEM,,,,,,,,,,,,,,,11.95
ハープーンMRMポッド,harpoonpod,1,,1200,2500,,750,,15,10,10,12,,,HIGH_EXPLOSIVE,0,,0,8.25,4,0.25,0,0,0,,,300,100,12.5,150,,,DO_NOT_AIM,"missile12, strike9, missile_bp, merc, ind",,,,Finisher,Medium,Medium,,,,,,,TRUE,12
ドラゴンファイアDEM魚雷,dragon,2,,2000,2000,,4000,,15,20,10,2,,,ENERGY,0,,0,10,1,,0,0,0,0,,150,0,12.5,600,,,"DO_NOT_AIM, STRIKE","strike8, missile3, merc, rare_bp, damage_special, damage_soft_flux",,,,Torpedo,Slow,Good,,,"The missile fires a high-powered laser when it gets near the target, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",4000,,,TRUE,12.11
    ドラゴンファイア - ペイロード,dragon_payload,2,,0,1000,8000,,,,20,0,,,,ENERGY,0,,0,0.75,0.25,0.5,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,12.12
ゴルゴンSRMポッド,gorgonpod,1,,1300,1500,,800,,15,10,10,16,,,ENERGY,0,,0,9.5,2,0.5,0,0,0,0,,300,75,6,250,,,DO_NOT_AIM,"missile12, strike9, merc, rare_bp, damage_special, damage_soft_flux",,,,Assault / Finisher,Medium,Good,,,"Each missile fires a high-powered laser when it gets near the target, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",800,,,TRUE,12.2
ゲイザーSRMポッド,gazerpod,2,,1300,1200,,200,,15,10,9,18,,,KINETIC,0,,0,14.5,2,0.5,0,0,0,0,,150,25,5,250,,,DO_NOT_AIM,"missile12, merc, rare_bp, damage_special, damage_soft_flux",,,,Suppression,Slow,Good,,,"Each missile fires a graviton beam at the target, dealing approximately %s kinetic damage over the course of %s seconds. This damage is affected by missile damage modifiers and not energy weapon ones.",1000 | 10,,,TRUE,12.21
ブリーチSRMポッド,breachpod,1,,1200,1500,,150,,15,10,10,50,,,HIGH_EXPLOSIVE,0,,0,9,5,0.25,0,0,0,,,400,50,5,450,,,"DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD","missile13, rare_bp, merc, ind",,,,Anti Armor,Fast,Good,,,Each missile deals an additional %s damage to armor. This damage is not reduced by armor.,250,,,TRUE,12.25
サボットSRMポッド,sabotpod,1,,1200,1200,,100,,15,10,10,12,,,KINETIC,0,,0,8.75,2,0.25,0,0,0,0,,150,50,8,300,,,GUIDED_POOR,"missile13, strike8, rare_bp, merc, ind",,,,Anti Shield,Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 200,,,TRUE,12.31
サラマンダーMRMポッド,salamanderpod,1,,1200,2000,,100,1500,15,10,6,,,,FRAGMENTATION,0,,0,25,2,0.25,0,0,0,,,400,50,15,150,,,"DO_NOT_AIM, HEATSEEKER","utility13, missile_bp, merc, ind",,,,Anti Engine,Fast,Excellent,,,,,,,TRUE,12.32
アナイアレーター・ロケットポッド,annihilatorpod,0,,1200,1500,,200,,5,30,10,100,,,HIGH_EXPLOSIVE,0,,0,0.5,1,,0,0,0,0,,400,50,3.75,50,,,,"rocket13, strike8, missile_bp, merc, ind",,,,Pressure,Fast,None,,,,,,,,12.33
ピルムLRMランチャー,pilum,0,,900,4000,,500,500,25,10,7,30,0.1,,FRAGMENTATION,0,,0,15,3,0.4,0,0,0,0,,125,100,30,150,,,"DO_NOT_AIM, CONSERVE_1","utility13, missile7, missile_bp, merc, ind",,,,Long Range Support,Very Slow,Very Poor,,,"Second-stage hits on shields have a chance to arc through to weapons and engines, dealing %s EMP damage. The chance to pierce the shields is based on the target's hard flux level.",500,,,,12.5
近接爆薬ランチャー,phasecl,2,,1500,1000,,500,,25,30,12,50,,,HIGH_EXPLOSIVE,0,,0,2,1,,20,20,0,0,,100,400,4,500,,,ANTI_FTR,"utility8, rare_bp, merc, ind",,,,Pressure / Anti Fighter,Very Slow,None,,,"Not affected by missile speed, acceleration, and flight time modifiers.",,,,TRUE,13
近接爆薬ランチャー（戦闘機）,phasecl_bomber,2,,1500,2000,,500,,25,30,12,6,,,HIGH_EXPLOSIVE,0,,0,1.5,1,,0,0,0,0,,100,200,12,500,,,"SYSTEM,STRIKE,BOMB","utility8, show_in_codex",,,,Strike (Fighter),Very Slow,None,,,,,,,TRUE,13.5
ジャックハンマー,jackhammer,0,,1000,1200,,1500,,30,20,6,6,,,HIGH_EXPLOSIVE,0,,0,9.5,3,0.25,10,10,0,0,,500,40,4,350,,,STRIKE,"strike10, rocket5, ind, missile_bp, merc",,,,Torpedo,Fast,None,,,,,,,TRUE,13.75
タイフーン・リーパー・ランチャー,typhoon,1,,1200,1200,,4000,,75,20,10,6,,,HIGH_EXPLOSIVE,0,,0,15,1,,0,0,0,0,,400,100,3.5,500,,,STRIKE,"strike13, rocket8, missile_bp, merc, ind",,,,Torpedo,Fast,None,,,,,,,TRUE,14
サイクロン・リーパー・ランチャー,cyclone,2,,5000,1200,,4000,,75,20,26,14,,,HIGH_EXPLOSIVE,0,,0,14.75,2,0.25,0,0,0,0,,400,400,3.5,500,,,STRIKE,"strike18, rocket14, rare_bp, merc, ind",,,,Torpedo,Fast,None,,,A booster system accelerates the torpedo to its top speed before it leaves the launch tube.,,,,TRUE,15
ピルムLRMカタパルト,pilum_large,1,,1500,4000,,500,500,25,10,14,30,0.33333,6,FRAGMENTATION,0,,0,9,6,0.2,0,0,0,0,,125,200,30,150,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility15, missile14, rare_bp, merc, ind",,,,Long Range Support,Very Slow,Very Poor,,,"Second-stage hits on shields have a chance to arc through to weapons and engines, dealing %s EMP damage. The chance to pierce the shields is based on the target's hard flux level.",500,,,,15.5
ハリケーンMIRVランチャー,hurricane,1,,4500,2500,,500,,50,10,25,10,,,HIGH_EXPLOSIVE,0,,0,15,1,,0,0,0,0,,250,50,12,350,,,"DO_NOT_AIM, CONSERVE_5","missile18, strike15, rare_bp, hist1t, merc, ind",,,,Finisher,Medium,Good,,,,,,,TRUE,16
ドラゴンファイア・魚雷ポッド,dragonpod,2,,7000,2000,,4000,,15,20,25,5,,,ENERGY,0,,0,15,1,,0,0,0,0,,150,0,12.5,600,,,"DO_NOT_AIM, STRIKE","strike18, missile15, merc, rare_bp, damage_special, damage_soft_flux",,,,Torpedo,Slow,Good,,,"The missile fires a high-powered laser when it gets near the target, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",4000,,,TRUE,16.01
ヒドラMDEMランチャー,hydra,2,,5000,2500,,1500,,50,10,20,15,,,ENERGY,,,0,10,1,,0,0,0,0,,300,75,7,400,,,"DO_NOT_AIM, CONSERVE_5","missile18, strike10, rare_bp, merc, damage_special, damage_soft_flux",,,,General,Medium,Excellent,,,The missile splits into %s submunitions which try to flank the target. Each one then fires a high-powered laser dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.,6 | 500,,,TRUE,16.05
    ヒドラ - ペイロード,hydra_payload,2,,0,700,500,,,,30,0,,,,ENERGY,0,,0.05,0.25,0.9,0.5,,,,,1000000,,,,,,,SYSTEM,,,,,,,,,,,,,,,16.06
スコールMLRS,squall,2,,4000,2500,,100,,15,20,20,160,,,KINETIC,0,,0,10,20,0.5,0,0,0,0,,600,100,4.75,150,,,"DO_NOT_AIM, CONSERVE_3, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","missile19, strike15, rare_bp, merc, ind",,,,Suppression,Very Fast,Special,,,"Unguided after a brief initial aiming stage. When impacting shields, a resonator unit activates to increase the base damage by %s.",150,,,,16.2
ローカストSRMランチャー,locust,1,,4000,1400,,200,,5,30,18,600,,,FRAGMENTATION,0,,0,5,30,0.1,0,0,0,0,,400,100,6,60,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, rare_bp, hist1t, merc, ind",,,,Anti Small Craft,Fast,Excellent,,,,,,,,16.3
ハンマーバラージ,hammerrack,0,,1250,1200,,1500,,30,10,16,20,,,HIGH_EXPLOSIVE,0,,0,5,4,0.15,0,0,0,0,,500,40,4,350,,,STRIKE,"strike16, rocket14, missile_bp, merc, ind",,,,Torpedo,Fast,None,,,,,,,TRUE,16.4
マイニングレーザー,mininglaser,0,,100,600,30,,,0,80,1,,,,ENERGY,,10,0,0.25,,,,,,,2400,,,,,,,PD,"beam0, energy0, pd0, base_bp, ind",,,,Point Defense,,,,,,,,,,16.5
PDレーザー,pdlaser,1,,200,500,75,,,0,100,3,,,,ENERGY,,40,0,0.25,,,,,,,2400,,,,,,,PD,"pd7, beam7, SR, hightech_bp, midline_bp, merc, ind",,,,Point Defense,,,,,,,,,,17
タクティカルレーザー,taclaser,1,,200,1000,75,,,0,20,4,,,,ENERGY,,60,0.1,0.1,,,,,,,2400,,,,,,,,"beam9, LR, hightech_bp, midline_bp, merc, ind",,,,General,,,,,,,,,,18
イオン砲,ioncannon,2,,500,500,,25,400,0,40,6,,,,ENERGY,30,,0.5,0,,,,,,,,1000,,,,,,,"energy8, hightech_bp, merc, ind",,,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,,19
イオン砲（高遅延、戦闘機）,ioncannon_fighter,2,,500,500,,25,400,0,40,6,,,,ENERGY,30,,0.5,0.5,,,,,,,,1000,,,,,,SYSTEM,"energy8, show_in_codex",,,,Suppression (Fighter),,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",,,,,19.1
IRパルスレーザー,irpulse,1,,250,500,,50,,0,50,5,,,,ENERGY,40,,0.333333,0,,,,,,,,1000,,,,,,,"energy8, hightech_bp, merc, ind",,,,General,,,,,,,,,,19.25
IRパルスレーザー（高遅延、戦闘機）,irpulse_fighter,1,,250,500,,50,,0,50,5,,,,ENERGY,50,,0.333333,0.333333,,,,,,,,1000,,,,,,SYSTEM,"energy8, show_in_codex",,,,General (Fighter),,,,,,,,,,19.3
LR PDレーザー,lrpdlaser,2,,400,800,50,,,0,100,4,,,,ENERGY,,30,0,0.25,,,,,,,3600,,,,,,,PD,"pd7, beam5, hightech_bp, midline_bp, merc, ind",,,,Point Defense,,,,,,,,,,19.5
バーストPDレーザー,pdburst,2,,600,500,350,,,0,100,6,4,0.5,,ENERGY,,200,0.1,0.1,0.3,0.1,,,,,10000,,,,,,,"PD,ANTI_FTR","pd9, beam6, rare_bp, merc, ind",,,,Point Defense,,,,,,,,,,19.6
バーストPDレーザー（高遅延、戦闘機）,pdburst_fighter,2,,600,500,110,,,0,100,6,4,0.5,,ENERGY,,100,0.1,0.1,0.8,0.1,,,,,10000,,,,,,,"PD,ANTI_FTR,SYSTEM","pd9, beam6, show_in_codex",,,,Point Defense (Fighter),,,,,,,,,,19.7
反物質ブラスター,amblaster,3,0.7,900,400,,1400,,0,30,9,20,,,ENERGY,1500,,0.25,10,,,0,0,0,0,,1000,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike10, rare_bp, hist1t, merc, ind",SR_strike_only,,,Strike,,,,,,,,,,19.75
フェイズランス,phasebeam,1,,1500,600,1000,,,0,20,10,,,,ENERGY,,800,0.25,0.5,1,4,,,,,3200,,,,,,,,"energy14, beam10, rare_bp, merc, ind",,,,General,,,,,,,,,,20
グラビトンビーム,gravitonbeam,2,,1500,1000,100,,,10,15,9,,,,KINETIC,,75,0.1,0.1,,,,,,,2400,,,,,,,,"beam12, kinetic11, LR, hightech_bp, midline_bp, merc, ind",,,,Suppression,,,,,"Disrupts the target's shields, increasing all shield damage taken by %s for one full-power graviton beam, %s for two, and %s for three or more hitting the shields at the same time.",5% | 8% | 10%,Gravitic effects slow and push target off-course. The effect is minor and is most noticeable vs fighters and missiles.,,,21
IRオートランス,irautolance,1,,1200,1000,500,,,0,50,8,40,2,10,FRAGMENTATION,,150,0,0,0.1,0,,,,,1000000,,,,,,,USE_LESS_VS_SHIELDS,"beam12, energy10, rare_bp, merc",,,,General,,,,,,,,,,21.5
