name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
防御ターゲティングアレイ,defensive_targeting_array,2,,,"special, merc, standard",Fighters,3000,,,,2,4,6,10,com.fs.starfarer.api.impl.hullmods.DefensiveTargetingArray,"標準の戦闘機通信リンクは、短距離ターゲティングデータを提供するために再利用されます。

戦闘機のミサイルや他の戦闘機に対するダメージを %s 増加させますが、戦闘機は自艦の近くを離れることができなくなります。","Increases fighter PD damage, reduces fighter roam range to zero.",艦の戦闘機の弾道およびエネルギー兵器の射程を %s ユニット延長します。,graphics/hullmods/defensive_targeting_array.png
ECCMパッケージ,eccm,2,,,"offensive, defensive, merc, standard",Weapons,2500,,,,5,8,15,20,data.hullmods.ECCMPackage,"艦から発射されるミサイルが電子妨害やフレアの影響を受ける確率を %s 減少させます。

各ミサイルに搭載されたCPUコアの補助装置は、ミサイルの最高速度を %s 増加させ、ミサイルの操縦性を %s 向上させ、誘導アルゴリズムを大幅に改善します。

また、敵のECMによる武器射程の減少を %s 減少させます。","Improves missile speed and guidance, reduces effect of enemy Electronic Warfare.",武器射程の減少を完全に無効化し、艦のミサイルは常にフレアを無視します。,graphics/hullmods/eccm_package.png
ECMパッケージ,ecm,2,,,"offensive, special, merc, standard","Weapons, Support",4000,,,,6,12,18,24,com.fs.starfarer.api.impl.hullmods.ECMPackage,戦闘に展開されると、この艦の船体サイズに応じて %s/%s/%s/%s のECM評価を付与します。,Increases ship's ECM rating.,,graphics/hullmods/ecm_package.png
護衛パッケージ,escort_package,1,,,"special, weapons, engines, standard","Special, Weapons, Engines",8000,,,,0,7,15,0,com.fs.starfarer.api.impl.hullmods.EscortPackage,"この艦が大きな友軍艦の約 %s su 内にいるとき、この艦の操縦性を %s 増加させ、最高速度を %s 増加させます。また、弾道およびエネルギー兵器の射程を %s 増加させます。

これらのボーナスは、近くの友軍が主力艦の場合、駆逐艦に対して %s になります。","Increases maneuverability, top speed, and weapon range when near larger friendly ship.",駆逐艦: シールドが受けるダメージを %s 減少させます。巡洋艦には追加効果はありません。,graphics/hullmods/escort_package.png
拡張デッキクルー,expanded_deck_crew,1,,,"special, merc, standard",Fighters,4000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedDeckCrew,"戦闘機の損失による戦闘機の補充率の減少速度を %s 減少させ、回復速度を %s 増加させます。

戦闘機バイごとに必要な乗組員を %s 増加させます。","Improves fighter replacement rate, increases crew requirements.",,graphics/hullmods/expanded_deck_crew.png
拡張マガジン,magazines,1,,,"offensive, merc, standard",Weapons,2500,,,,3,5,7,10,data.hullmods.ExpandedMagazines,弾道およびエネルギー兵器の弾薬容量またはチャージ数を %s 増加させます。,Increases ammo/charges for ballistic and energy weapons.,弾道およびエネルギー兵器の弾薬/チャージ再生速度を %s 増加させます。,graphics/hullmods/expanded_magazines2.png
拡張ミサイルラック,missleracks,1,,,"offensive, merc, standard",Weapons,5000,,,,8,12,20,30,data.hullmods.ExpandedMissileRacks,ミサイル兵器の弾薬容量を %s 増加させます。,Increases missile weapon ammo.,ミサイル兵器の発射速度を %s 減少させます。,graphics/hullmods/expanded_missile_racks.png
拡張シールド,extendedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,4,8,12,20,data.hullmods.ExtendedShieldEmitter,シールドのカバー範囲を %s 度増加させます。,Increases maximum shield arc.,シールドのカバー範囲をさらに %s 度増加させます。,graphics/hullmods/extended_shields.png
フラックスコイル補助装置,fluxcoil,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxCoilAdjunct,船のフラックス容量を %s/%s/%s/%s 増加させます。船体サイズに応じて異なります。フラックスコンデンサーほど効率的ではなく、すでに最大数のコンデンサーを搭載している設計に追加するのが最も有用です。,Increases flux capacity.,フラックス容量をさらに %s/%s/%s/%s 増加させ、コイルをコンデンサーを追加するのと同じくらい効率的にします。,graphics/hullmods/flux_coil_adjunct.png
フラックスディストリビューター,fluxdistributor,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxDistributor,船体のサイズに応じて、船のフラックス消散を %s/%s/%s/%s 増加させます。フラックスベントほど効率的ではなく、すでに最大数のベントを搭載している設計に追加するのが最も有用です。,Increases flux dissipation.,さらに %s/%s/%s/%s フラックス消散を増加させ、ディストリビューターをベントを追加するのと同じくらい効率的にします。,graphics/hullmods/flux_distributor.png
,,,,,,,,,,,,,,,,,,,
シールドシャント,shield_shunt,1,,,"special, shields, merc, standard","Special, Shields",3000,,,,3,5,7,10,com.fs.starfarer.api.impl.hullmods.ShieldShunt,船のシールドを取り外します。外部エミッターノードは強化プレートに置き換えられ、船の装甲が %s 増加します。,"Removes shields, increases armor.",船の装甲をさらに %s 増加させます。,graphics/hullmods/shield_shunt.png
簡易シールドジェネレーター,frontshield,0,,,"shields, defensive, standard",Shields,4000,,,,5,10,15,25,data.hullmods.FrontShieldGenerator,"船に簡易で非効率的なシールドジェネレーターを取り付けます。シールドエミッターは前方を向いた位置に固定され、%s 度のアークを持っています。

シールドジェネレーターはエンジンから多くの電力を引き出し、船の最高速度を %s 減少させます。",Installs basic shields on shieldless ship. Reduces top speed.,,graphics/hullmods/front_shield_generator.png
ミサイルオートローダー,missile_autoloader,1,,,"offensive, merc, standard",Weapons,6000,,,,8,12,20,30,com.fs.starfarer.api.impl.hullmods.MissileAutoloader,<tooltip created in the script due to sections/other complexity>,Reloads missile weapons in small missile mounts,リロード後のクールダウンを %s 秒に増加させます。,graphics/hullmods/missile_autoloader.png
強化シールド,hardenedshieldemitter,3,,,"shields, defensive, merc, standard",Shields,10000,,,,5,10,15,25,data.hullmods.HardenedShieldEmitter,シールドが受けるダメージを %s 減少させます。また、イオンビームのような武器からのEMPアークによってシールドが貫通される確率も減少します。,Reduces damage taken by shields.,,graphics/hullmods/hardened_shields.png
強化サブシステム,hardened_subsystems,0,,,"special, merc, standard",Special,2500,TRUE,,,5,10,15,25,data.hullmods.HardenedSubsystems,"長時間の展開によって性能が低下した船のピーク稼働時間を %s 増加させます。

また、戦闘準備が低下する速度を %s 減少させます。","Increases peak time, CR degrades more slowly.",,graphics/hullmods/hardened_subsystems.png
重装甲,heavyarmor,0,,,"defensive, merc, standard",Defenses,2500,,,,8,15,20,40,data.hullmods.HeavyArmor,船の装甲を船体のサイズに応じて %s/%s/%s/%s ポイント増加させます。,Increases armor.,船の機動性を %s 減少させます。,graphics/hullmods/heavy_armor.png
ハイ・スキャッターアンプ,high_scatter_amp,3,,,"offensive, merc, standard",Weapons,5000,,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.HighScatterAmp,<tooltip created in the script due to sections>,Reduces beam range; beams deal more damage and apply hard flux to shields.,ビーム兵器のダメージをさらに %s 増加させます。,graphics/hullmods/high_scatter_amp.png
統合型対空防御AI,pointdefenseai,3,,,"defensive, merc, standard","Weapons, Defenses",10000,,,,3,6,9,15,data.hullmods.IntegratedPointDefenseAI,すべての対空防御兵器にデコイフレアを識別し、無視する能力を与えます。さらに、すべての対空防御兵器は戦闘準備に関係なく最適なターゲットリーディングを得て、ミサイルへのダメージが %s 増加します。,"PD ignores decoy flares, improved target leading, more damage to missiles.",すべての小型の非ミサイル、非ストライク兵器は「対空防御」として分類され、自動的にミサイルをターゲットし、対空防御のステータス修正の影響を受けます。,graphics/hullmods/integrated_point_defense_ai.png
#対空防御統合,pdintegration,3,,,"defensive, merc","Weapons, Defenses",10000,,,,12,15,18,24,com.fs.starfarer.api.impl.hullmods.PDIntegration,"小型対空防御兵器の弾薬ポイントコストを %s 減少させます。このコスト削減は、武器自体の特徴としてPD機能を持つ武器にのみ影響し、ハルモッドなどの他の手段で得た場合には影響しません。

さらに、すべての対空防御兵器はすべてのターゲットに対して %s 追加のダメージを与えます。","Reduces ordnance point cost of small PD weapons, increases all PD damage.",,graphics/hullmods/integrated_point_defense_ai.png
統合型ターゲティングユニット,targetingunit,3,,,"offensive, merc, standard",Weapons,10000,,,,4,8,15,25,data.hullmods.IntegratedTargetingUnit,"船体のサイズに応じて、弾道およびエネルギー兵器の射程を %s/%s/%s/%s 増加させます。専用ターゲティングコアとの併用はできません。

ほとんどの戦闘艦は、統合型ターゲティングユニットまたは専用ターゲティングコアのいずれかを搭載しており、より専門的なバリエーションを除きます。","Increases weapon range, more so for larger ships.",,graphics/hullmods/integrated_targeting_unit.png
ナビゲーションリレー,nav_relay,2,,,"engines, special, merc, standard","Engines, Support",5000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.NavRelay,"戦闘に展開された際、この船の船体サイズに応じて艦隊のナビゲーション評価を %s/%s/%s/%s 増加させます。

艦隊の総ナビゲーション評価は、展開された船の最高速度を増加させます。",Increases top speed of deployed ships.,,graphics/hullmods/nav_relay.png
ニューロインターフェース,neural_interface,3,,,"special, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralInterface,"旗艦と別の船をリンクし、両方の船が同時に%sできるようにします。「コマンド転送」と同様に、弾薬容量や戦闘準備状態を増加させるスキル効果など、一部のスキル効果は別の船には適用されません。

また、シャトルポッドを使用せずにリンクされた船の間で迅速に切り替えることができます。船の展開ポイントの合計が%s以下であれば、転送は即座に行われます。目的の船は士官またはAIコアの指揮下にあってはなりません。","Allows rapid switching between ships, resets system cooldown and adds a charge.",船からの転送は常に即座に行われ、展開ポイントの合計に関係ありません。,graphics/hullmods/neural_interface.png
ニューロインテグレーター,neural_integrator,,,,"special, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralIntegrator,"自動化された船と連携するために、リンクを介して船のすべてのシステムを直接制御できるようにしたニューロインターフェースの拡張版で、両方の船が同時に%sできるようにします。「コマンド転送」と同様に、弾薬容量や戦闘準備状態を増加させるスキル効果など、一部のスキル効果は別の船には適用されません。

また、シャトルポッドを使用せずにリンクされた船の間で迅速に切り替えることができます。船の展開ポイントの合計が%s以下であれば、転送は即座に行われます。目的の船は士官またはAIコアの指揮下にあってはなりません。

改造の複雑さは、船の展開ポイントと展開から回復するための補給コストを%s増加させます。",Specialized Neural Interface for automated ships.,船からの転送は常に即座に行われ、展開ポイントの合計に関係ありません。,graphics/hullmods/neural_integrator.png
シールド変換 - 前面,frontemitter,2,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.FrontShieldEmitter,船の全方向シールドエミッターを前方に固定し、そのアークを%s延長します。すべての前面エミッターと同様に、シールドも2倍の速さで展開されます。,"Converts omni shield to front, extends arc.",シールドが受けるダメージを%s減少させます。,graphics/hullmods/front_shield_emitter.png
シールド変換 - オムニ,adaptiveshields,3,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.OmniShieldEmitter,前面シールドを全方向型に変換します。シールドのアークを%s減少させます。,"Converts front shield to omni, reduces arc.",シールドアークペナルティを無効にします。,graphics/hullmods/omni_shield_emitter_mod.png
オペレーションセンター,operations_center,1,,,special,Special,5000,,,,30,30,30,30,com.fs.starfarer.api.impl.hullmods.OperationsCenter,旗艦に装備すると、指揮ポイントの回復速度が%s増加します。,Increases command point recovery rate when on flagship.,,graphics/hullmods/operations_center.png
フェイズアンカー,phase_anchor,3,,,"phase, merc, no_build_in, standard, phase_brawler",Phase,7000,,,,10,20,30,50,com.fs.starfarer.api.impl.hullmods.PhaseAnchor,"フェイズクロークの発動コストを%sに減少させます。フェイズ中はソフトフラックスの拡散と武器の充電速度が%s増加します。

船が破壊または無効化される致命的なダメージを受けた場合、緊急ダイブをp空間に深く行うことができます。船は撤退したと見なされ、戦闘が終了すると通常空間に出現し、戦闘準備状態に対して%sの追加ペナルティを受けます。このダイブを開始するには、船がこのコストをカバーするのに十分な戦闘準備状態を持っている必要があります。

このような動作によってp空間に生じる巨大な歪みにより、戦闘ごとに1隻の船のみが実行可能です - どちらの側であっても。","Increases flux dissipation and weapon recharge while phased, emergency dive maneuver.",,graphics/hullmods/phase_anchor.png
回収シャトル,recovery_shuttles,1,,,"special, standard",Fighters,4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.RecoveryShuttles,戦闘機パイロットの casualties を%s減少させます。,Reduces fighter pilot casualties.,戦闘機パイロットの casualties 削減を%sに増加させます。,graphics/hullmods/recovery_shuttles.png
強化バルクヘッド,reinforcedhull,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,5,10,15,30,data.hullmods.ReinforcedBulkheads,船の船体の耐久性を%s増加させます。無効化された場合、船は分解せず、戦闘後にほぼ常に回収可能です。,Increases hull integrity; ship almost always recoverable if lost.,,graphics/hullmods/reinforced_bulkheads.png
耐性フラックス導管,fluxbreakers,2,,,"defensive, merc, standard","Special, Defenses",7000,,,,3,6,9,15,data.hullmods.FluxBreakers,イオンキャノンなどの武器から受けるEMPダメージを%s減少させます。また、ベント中の船のフラックス拡散率を%s増加させます。,"Reduces EMP damage taken, improves venting speed.",ベント中のフラックス拡散率をさらに%s増加させます。,graphics/hullmods/resistant_flux_conduits.png
安全オーバーライド,safetyoverrides,0,,,"special, engines, offensive, merc, no_build_in, standard","Special, Engines",2500,TRUE,,,15,30,45,70,data.hullmods.SafetyOverrides,"安全プロトコルを無効にすると、船の戦闘時の最高速度が%s/%s/%s（船のサイズに応じて加速も増加）増加し、フラックスレベルに関係なくゼロフラックスエンジンブーストが有効になります。フラックス拡散率は、追加のベントを含めて%s倍増加します。

ピークパフォーマンスタイムを%s倍減少させ、アクティブベントの使用を防ぎ、%sユニットを超える武器の射程を大幅に減少させます。

民間船や主力艦には装備できません。","Drastic improvement in performance, much lower peak time.",,graphics/hullmods/safety_overrides.png
,,,,,,,,,,,,,,,,,,,
安定化シールド,stabilizedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,3,6,9,15,data.hullmods.StabilizedShieldEmitter,上昇したシールドが毎秒生成するソフトフラックスの量を%s減少させます。シールドがダメージを受けた結果として生成されるハードフラックスには影響しません。,Reduces flux upkeep for shields.,シールドが受けたハードフラックスダメージの%sをソフトフラックスに変換します。,graphics/hullmods/stabilized_shields.png
,,,,,,,,,,,,,,,,,,,
不安定インジェクター,unstable_injector,0,,,"engines, merc, standard",Engines,2500,TRUE,,,5,10,15,25,data.hullmods.UnstableInjector,"船の戦闘時の最高速度を船体サイズに応じて %s/%s/%s/%s su/秒 増加させます。

武器のターゲティングや他の脆弱なシステムに干渉し、ミサイル以外の武器の射程を %s 減少させ、戦闘機の補充時間を %s 増加させます。","Increases speed, reduces weapon range.",,graphics/hullmods/unstable_injector.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# 物流船体モジュール,,,,,,,,,,,,,,,,,,,
追加のバース,additional_berthing,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",3000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdditionalBerthing,"船体サイズに応じて最大乗組員数を %s/%s/%s/%s 増加させるか、%s のいずれか高い方を選択します。

民間グレードの船体の場合、メンテナンス供給の使用量も %s 増加します。",Increases crew capacity.,乗組員数の増加を2倍にし、民間船体の場合はメンテナンスコストの増加を無効にします。,graphics/hullmods/berthing.png
拡張ドライブフィールド,augmentedengines,1,,,"req_spaceport, merc, standard","Logistics, Requires Dock",8000,,,,8,16,24,40,data.hullmods.AugmentedEngines,最大バーニングレベルを %s 増加させます。,Increases maximum burn level.,最大バーニングレベルをさらに %s 増加させます。,graphics/hullmods/augmented_drive_field2.png
補助燃料タンク,auxiliary_fuel_tanks,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AuxiliaryFuelTanks,"船体サイズに応じて最大燃料容量を %s/%s/%s/%s 増加させるか、%s のいずれか高い方を選択します。

民間グレードの船体の場合、メンテナンス供給の使用量も %s 増加します。",Increases fuel capacity.,燃料容量の増加を2倍にし、民間船体の場合はメンテナンスコストの増加を無効にします。,graphics/hullmods/fuel_tanks.png
効率的なオーバーホール,efficiency_overhaul,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.EfficiencyOverhaul,"メンテナンス、燃料使用、必要最低乗組員数を %s 減少させます。

戦闘準備の回復と修理速度を %s 増加させます。CR回復のための1日あたりの供給消費は回復速度の増加に合わせて増加しますが、総供給コストは変わりません。",Reduces ongoing costs and enables more deployments.,メンテナンスコスト、燃料使用、最低乗組員数をさらに %s 減少させます。,graphics/hullmods/efficiency.png
拡張貨物室,expanded_cargo_holds,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedCargoHolds,"船体サイズに応じて最大貨物容量を %s/%s/%s/%s 増加させるか、%s のいずれか高い方を選択します。

民間グレードの船体の場合、メンテナンス供給の使用量も %s 増加します。",Increases cargo capacity.,貨物容量の増加を2倍にし、民間船体の場合はメンテナンスコストの増加を無効にします。,graphics/hullmods/expanded_cargo.png
高解像度センサー,hiressensors,2,,,"req_spaceport, merc, standard","Logistics, Requires Dock",9000,,,,4,6,9,15,com.fs.starfarer.api.impl.hullmods.HighResSensors,<スクリプトで作成されたツールチップ>,Increases fleet's sensor range.,船の戦闘中の視界範囲を船体サイズに基づいて %s/%s/%s/%s 増加させます。,graphics/hullmods/high_res_sensors.png
絶縁エンジンアセンブリ,insulatedengine,0,,,"engines, defensive, req_spaceport, merc, standard","Engines, Logistics, Defenses, Requires Dock",2500,,,,3,6,9,15,data.hullmods.InsulatedEngines,"船のエンジンの耐久性を %s 増加させ、船体の整合性を %s 増加させます。

船のセンサープロファイルも %s 減少します。","Makes engines harder to disable, lowers sensor profile.",エンジンの耐久性をさらに %s 増加させ、センサープロファイルの減少を %s に増加させます。,graphics/hullmods/insulated_engine_assembly.png
軍事化されたサブシステム,militarized_subsystems,0,,,"req_spaceport, merc, standard","Special, Logistics, Requires Dock",6000,TRUE,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.MilitarizedSubsystems,"民間グレードの船体からペナルティを取り除き、最大バーニングレベルを %s 増加させます。

必要最低乗組員数を %s 増加させます。","Removes sensor penalties, increases maximum burn level, increases crew required.",増加した乗組員要件を無効にします。,graphics/hullmods/militarized_subsystems.png
太陽シールド,solar_shielding,2,,,"defensive, req_spaceport, merc, standard","Defenses, Logistics, Requires Dock",5000,,,,3,6,9,15,data.hullmods.SolarShielding,"元々はシンドリア統合軍のエンジニアによって、アスコニア内部システムの独特な条件に対処するために開発されました。太陽コロナでの運用が戦闘準備に与える影響を %s 減少させ、深いハイパースペースの嵐に対しても同様の効果があります。

戦闘中は、受けるエネルギー損害を %s 減少させます。",Reduces effect of being in corona and energy damage taken.,太陽コロナや同様の危険からの保護を %s に増加させます。,graphics/hullmods/solar_shielding2.png
測量機器,surveying_equipment,1,,,"special, req_spaceport, standard","Logistics, Requires Dock",5000,,,,5,10,15,25,data.hullmods.SurveyingEquipment,船体のサイズに応じて、調査に必要な重機械と物資を %s/%s/%s/%s 削減し、各々の最低値は %s になります。,Reduces resource requirements for surveying.,調査コストの削減を %s 増加させます。,graphics/hullmods/surveying_equipment.png
,,,,,,,,,,,,,,,,,,,
# 標準ビルトイン船体モジュール,,,,,,,,,,,,,,,,,,,
ターミネーターコア,terminator_core,,,,,Weapons,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.TerminatorCore,すべての対空防御兵器にデコイフレアを識別し、無視する能力を与えます。さらに、すべての武器は戦闘準備状態に関係なく、最適なターゲットリーディングを得ます。ミサイルと戦闘機へのダメージは %s 増加し、ビーム兵器の射程は %s ユニット増加します。,,,graphics/hullmods/terminator_core.png
共有フラックスシンク,shared_flux_sink,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.SharedFluxSink,すべての接続モジュールのフラックス消散の %s を処理します。戦闘中にモジュールが失われた場合、追加のフラックス消散は残りのモジュールに再分配されます。この追加消散の最大 %s はハードフラックスに適用されます。,Flux/hard flux dissipation bonus as modules are lost.,,graphics/hullmods/shared_flux_sink.png
ステルス地雷原,stealth_minefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefield,地雷は戦闘中に敵艦を攻撃します。,Mines attack enemy ships during battle.,,graphics/hullmods/stealth_mines.png
ステルス地雷原 - 低技術,stealth_minefield_lt,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefieldLT,地雷は戦闘中に敵艦を攻撃します。,Mines attack enemy ships during battle.,,graphics/hullmods/stealth_mines.png
Bデッキ,bdeck,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.BDeck,"戦闘中に一度、戦闘機の補充率が %s に達すると、戦闘機発進口が「Bデッキ」から運用されるように切り替わります。

待機中の戦闘機が発進し、ウィングを迅速に完全な強さに戻し、戦闘機の補充率は %s に設定されます。",Launches fresh wing once per combat and replenishes the replacement rate.,,graphics/hullmods/bdeck.png
戦闘機シャーシストレージ,chassis_storage,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FighterChassisStorage,戦闘機が失われても、戦闘機の補充率は下がりません。,Fighter replacement rate does not go down.,,graphics/hullmods/expanded_deck_crew.png
シールド常時オン,shield_always_on,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShieldAlwaysOn,,"Forces shield to stay on. Hidden, doesn't need description or icon.",,graphics/hullmods/hardened_shields.png
ミサイルオートフォージ,missile_reload,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PeriodicMissileReload,艦内のオートフォージが定期的にすべてのミサイル兵器の弾薬を完全に再装填します。,Periodically reloads all missile weapons.,,graphics/hullmods/expanded_missile_racks.png
