id,trigger,conditions,script,text,options,notes
gateOpenDialogActive,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","あなたの前に広大で強力なアダマンタインのリングがかつての時代の遺物としてぶら下がっています。

あなたはこのゲートをスキャンし、その物の秘密の心臓のリズムを発見しました。それは空間の隙間に隠れています。別のゲートへの橋を作るためにジャニュスデバイスを使用するには、大量の燃料が必要です。ターゲットが遠くなるほど、必要な燃料が増えます。

ジャニュスデバイスは、先導艦のハイパードライブフィールドを介して特異な位相のエネルギーを大量に転送することで、ゲートからゲートへの直接接続を安定させます。",,
gateOpenDialogActiveCanNotUse,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
!$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","あなたの前には、かつての時代の廃墟である不屈のリングが広がっています。

あなたはこのゲートをスキャンし、空間の隙間に隠されたそのものの秘密の心のリズムを発見しました。別のゲートへの橋を作るためにジャヌスデバイスを使用するには、大量の燃料が必要です。ターゲットが遠くなるほど、必要な燃料は増えます。

ゲートを使用するには、ジャヌスデバイスを艦隊に統合する必要があります。",,
gateOpenDialogCanScan1,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","静かな不屈の素材のリングが、かつての時代の廃墟として存在しています。

あなたのセンサー士官があなたの合図に頷きます。あなたの指揮インターフェースが点灯します。「スキャン実行」が期待を込めて点滅しています。ゲートは、墓のように冷たく待っています。",,
gateOpenDialogCanScan1a,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","静かな不屈の素材のリングが、かつての時代の廃墟として存在しています。

あなたはこのゲートをスキャンし、空間の隙間に隠されたそのものの秘密の心のリズムを発見しました。",,
gateOpenDialogCanScan2,OpenInteractionDialog,"$tag:gate
$global.canScanGates
$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","静かな不屈の素材のリングが、かつての時代の廃墟として存在しています。

あなたのセンサー士官があなたに頷きます；ハイパーウェーブスキャナーが準備完了です。「スキャン実行」という言葉があなたの指揮インターフェースで期待を込めて点滅しています。

このゲートを使用するには、ジャヌスデバイスを使ってアクセスまたは出口ポイントとしてスキャンする必要があります。",,
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"$flewThrough = true 0
FireAll PopulateGateOptions","あなたは$shipOrFleetに死んだゲートウェイを通過するよう命じます。ブリッジの乗組員は通過中特に静かです。

何も起こりません。",,
gateScanSelFirstTime,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.numGatesScanned == 0
$global.gaATG_inProgress","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","あなたの指揮表示には、ゲートを取り囲むハイパースペース多様体の表現が重なっています。それは穏やかで冷たく、ドライブの残光がありません。

スキャンが始まると、あなたは旗艦を表すアイコンとゲートを表すアイコンの間に混乱の線が閃くのを見ます。スパイラルと波紋が非ニュートン波で溢れ出し、ゲートの中心から湧き上がります。いいえ、それは点ではなく、円、球、トーラス、逆さの漏斗です。そして、あなたの目を閉じさせるような他の形があります。遠くから微かな音楽が聞こえます。

「キャプテン？」あなたのセンサー士官があなたを見つめています。「スキャンは完了しました。」彼らがこれを言ったのは二度目だと気づき、あなたはただ考え込んでいるかのように手を振ります。",,
gateScanSelDuringMission,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.gaATG_inProgress
$global.numGatesScanned > 0
$global.numGatesScanned < 6","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","あなたの指揮表示にはハイパースペース多様体の表現が表示されています。それは穏やかで冷たく、

スキャンが始まり、あなたの旗艦とゲートの間に混乱の線が閃きます。スパイラルと波紋が非ニュートンのバーストで溢れ出し、ゲートの中心から湧き上がります。いいえ、点ではなく、円、球、トーラス、逆さの漏斗です。そして、解析できない幾何学が続きます。

微かな音楽が聞こえます。

「キャプテン」とあなたのセンサー士官が報告します。「スキャンは完了しました。」",,
gateScanSel,DialogOptionSelected,$option == gateScan,"$gateScanned = true
$global.numGatesScanned++
GateCMD notifyScanned
ShowDefaultVisual
FireAll PopulateGateOptions","あなたの指揮表示にはハイパースペース多様体が表示されています。それは穏やかで冷たく、

スキャンビームがハイパーディメンショナル表示で閃きます。スパイラルと波紋がゲートからバーストで溢れ出し、想像を超えた幾何学に押し寄せます。微かな音楽のささやきが聞こえます。

「キャプテン」とあなたのセンサー士官が報告します。「スキャンは完了しました。」",,
gateUseOptSel,DialogOptionSelected,"$option == gateUse
$global.gatesActive",GateCMD selectDestination,,,
gateFlyThroughOpt,PopulateGateOptions,"!$flewThrough
!$global.gatesActive
!$gateExploded",,,5:gateFlyThrough:ゲートを通過する,
gateUseOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned",,,10:gateUse:ゲートを通って移動する,
gateScanOpt,PopulateGateOptions,"!$gateScanned
$global.canScanGates",,,0:gateScan:ゲートをスキャンする,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:離れる,
,,,,,,
# Gate scan count during gaATG,,,,,,
,,,,,,
gaATGgateScanSummaryLuddic,GAATGGateScanSummary,$GAATGluddicPostScan score:1000,"Call $global.gaATG_ref luddicGateFleetMoveBack
unset $GAATGluddicPostScan",,gaATG_gateScanSummaryLuddic2:続ける,"# this step is to add a ""Continue"" to break up the huge block of text."
gaATGgateScanSummaryLuddic2,DialogOptionSelected,$option == gaATG_gateScanSummaryLuddic2,FireBest GAATGGateScanSummary,"あなたは、あなたの主力艦から見守っていたルド信者の一行を見送ります。彼らの艦隊が戻ってきます；彼らの集合的な献身は途切れることがありません。

「ルドの祝福があなたにありますように、艦長」と彼らのリーダーが言います。「私はあなたのことを帰還した預言者に良く話します。」

あなたは神学的な質問を提起せずに受け入れの意を示し、彼らのシャトルがベイを離れるときに丁寧に手を振ります。",,
gaATGgateScanEndCheck1,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned >= 6","$global.gaATG_scannedSixGates = true
Call $global.gaATG_ref updateStage
FireAll PopulateGateOptions",,,
gaATGgateScanEndCheck2,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned < 6",FireAll PopulateGateOptions,,,
,,,,,,
,,,,,,
# Gate dev testing options,,,,,,
devGateCanScanOn,PopulateGateOptions,"$global.isDevMode
!$global.canScanGates",SetOptionColor devGateScanOn gray,,200:devGateScanOn:>> (dev) ゲートをスキャンできるようにする,
devGateCanScanOff,PopulateGateOptions,"$global.isDevMode
$global.canScanGates",SetOptionColor devGateScanOff gray,,200:devGateScanOff:>> (dev) ゲートをスキャンできないようにする,
devGatesActiveOn,PopulateGateOptions,"$global.isDevMode
!$global.gatesActive",SetOptionColor devGateActiveOn gray,,201:devGateActiveOn:>> (dev) ゲートをアクティブにする,
devGatesActiveOff,PopulateGateOptions,"$global.isDevMode
$global.gatesActive",SetOptionColor devGateActiveOff gray,,201:devGateActiveOff:>> (dev) ゲートを非アクティブにする,
devGatesPlayerCanUseOn,PopulateGateOptions,"$global.isDevMode
!$global.playerCanUseGates",SetOptionColor devGateCanUseOn gray,,202:devGateCanUseOn:>> (dev) プレイヤーがゲートを使用できるようにする,
devGatesPlayerCanUseOff,PopulateGateOptions,"$global.isDevMode
$global.playerCanUseGates",SetOptionColor devGateCanUseOff gray,,202:devGateCanUseOff:>> (dev) ゲートの使用を無効にする,
devGatesExplode,PopulateGateOptions,"$global.isDevMode
!$gateExploded",SetOptionColor devGateExplode gray,,210:devGateExplode:>> (dev) ゲートを爆発させる,
devGateCanScanOnSel,DialogOptionSelected,$option == devGateScanOn,"$global.canScanGates = true
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGateCanScanOffSel,DialogOptionSelected,$option == devGateScanOff,"$global.canScanGates = false
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGatesActiveOnSel,DialogOptionSelected,$option == devGateActiveOn,"$global.gatesActive = true
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesActiveOffSel,DialogOptionSelected,$option == devGateActiveOff,"$global.gatesActive = false
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOnSel,DialogOptionSelected,$option == devGateCanUseOn,"$global.playerCanUseGates = true
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOffSel,DialogOptionSelected,$option == devGateCanUseOff,"$global.playerCanUseGates = false
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesExplodeSel,DialogOptionSelected,$option == devGateExplode,"GateCMD explode
$gateExploded = true 0
FireAll PopulateGateOptions",,,
,,,,,,
,,,,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:離脱,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:離脱,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
# Abyssal Lights,,,,,,
abyssalLightBegin,OpenInteractionDialog,$customType == abyssal_light score:1000,"ShowDefaultVisual
FireAll AbyssalLightOptions
$player.sawAbyssalLight = true","冷たい光がビュースクリーンを満たし、ハイパースペースの深淵の完全な暗闇に対して際立っています。それは脈打つように見え、暗くなったり明るくなったりし、明確なパターンに従っていません。それは炎のようにちらつくこともなく、通信信号が失敗するようにちらつくこともなく、むしろ...あなたの意識の端にある何かのようです。それは...

あなたはそのリズムを予測できることに気づきます。聞くよりも見ることが多く、踊る光が視界を満たしています...

センサー士官の礼儀正しい咳があなたを現在に引き戻します。「$PlayerSirOrMadam?」",,
abyssalLightBeginAgain,OpenInteractionDialog,"$customType == abyssal_light score:1000
$player.sawAbyssalLight","ShowDefaultVisual
AddTextSmall ""    - Use an Active Sensor Burst to increase sensor range\n    - Use an Interdiction Pulse to increase burn level\n    - Lasts for a certain number of light-years traveled\n    - Larger increase when used near the Abyssal Light"" highlight
FireAll AbyssalLightOptions","冷たい光がビュースクリーンを満たし、深淵に対して際立っています。光の微妙な脈動が注意を引きますが、快適さを約束するものはありません。

あなたは頭を半分振り、次の命令を出すためにブリッジの士官に注意を集中させます。",,
abyssalLight_whatOpt,AbyssalLightOptions,!$player.gotFirstAbyssalLightInfodump,,,"abyssalLight_what:""センサー、何を見ていますか？""",
abyssalLight_opsOpt,AbyssalLightOptions,"!$player.askedOpsChiefAboutAbyssalLight
$player.gotFirstAbyssalLightInfodump",,,"abyssalLight_askOps:""オペレーション。問題がありますか？""",
AbyssalLightLeave,AbyssalLightOptions,,,,defaultLeave:離脱する,
abyssalLight_whatSel,DialogOptionSelected,$option == abyssalLight_what,,"""それは深淵の光です、$playerSirOrMadam。""

あなたのセンサー士官は、この発言が明白であると同時に無意味であることにすぐに気づきます。

""そして。それが正確に何であるかはわかりません...崩壊前の断片的なデータがあります。いくつかの学者は、これは一時的なハイパースペースの準構造の周りに暗黒エネルギーが自発的に蓄積されたものかもしれないと推測しています。高次元の結び目のようなもので、...それが何であれ物理的な影響を変えるものです。""

あなたはオペレーションの責任者が「すべての封印が安全であることを確認済み」というスペーサーの手のサインを出しているのを見かけます。これは悪に対する一種の防御です。",abyssalLight_what2:続ける,
abyssalLight_whatSel2,DialogOptionSelected,$option == abyssalLight_what2,"AddTextSmall ""    - Use an Active Sensor Burst to increase sensor range\n    - Use an Interdiction Pulse to increase burn level\n    - Lasts for a certain number of light-years traveled\n    - Larger increase when used near the Abyssal Light"" highlight
$player.gotFirstAbyssalLightInfodump = true
FireAll AbyssalLightOptions","""彼らは危険だとは知られていないようです、"" あなたのセンサー士官はコンソールを叩きながら続けます。 ""ドライブフィールドが私たちを守ってくれるはずです。""

""非常に不安定であるようです。彼らはいつもそうで、適切にスキャンするのが難しいです。アクティブスキャンを試みたり、干渉パルスを発射した場合、崩壊すると思います。その結果の放電によって、地元のハイパースペースの地形を描くことができるかもしれません。""",,
abyssalLightAskOps,DialogOptionSelected,$option == abyssalLight_askOps,$player.askedOpsChiefAboutAbyssalLight = true,"あなたのオペレーションチーフは、通常は冷静ですが、ほとんどひるみます。

""$PlayerSirOrMadam. いいえ、$playerSirOrMadam。""

あなたは沈黙を保ち、オペレーションに否定だけでは十分な答えではないことを知らせます。

""キャプテン。"" オペレーションはあなたを直接見ます。 ""ハイパースペースのこの深いところで物事に干渉するのは...悪運だと言われています。"" オペレーションは背筋を伸ばし、""技術的な意見はありませんが、乗組員の士気の問題としてこの点を挙げます。単なるドックサイドの迷信だと思います。""","abyssalLight_askOpsOutA:""了解しました、気をつけます。ありがとうございます、チーフ。""
abyssalLight_askOpsOutB:""そのような迷信は私のブリッジにはふさわしくありません、わかりましたか？""",
abyssalLightAskOpsOutA,DialogOptionSelected,$option == abyssalLight_askOpsOutA,"$player.ethosHumanitarian++
FireAll AbyssalLightOptions","""$PlayerSirOrMadam、"" あなたのオペレーションの責任者が言い、次にメインディスプレイに戻り、それ以上のことを考えないことを決意します。",,
abyssalLightAskOpsOutB,DialogOptionSelected,$option == abyssalLight_askOpsOutB,"$player.ethosKnowledge++
FireAll AbyssalLightOptions","""了解しました、$playerSirOrMadam。"" あなたのオペレーションの責任者がメインディスプレイに戻り、それ以上のことを考えないことを決意します。",,
,,,,,,
# Abyssal Light - Shrouded Dweller,,,,,,
abyssalLightDwellerBegin,OpenInteractionDialog,"$customType == abyssal_light score:1000
$tag:dweller_light score:1000",ShowImageVisual abyssal_light2,"冷たい光がプライマリーディスプレイを満たし、深淵に対して際立っています。微妙な脈動があなたの注意を引きますが、快適さを約束するものはありません。

しばらくして、あなたは意識的にその無情な光景から目をそらし、次の命令を出すためにブリッジの士官に注意を集中させます。",abyssalLight_dwellerCont:続ける,
abyssalLightDwellerNonLight,DwellerAttackAfterAbilityUse,"$customType == abyssal_light score:1000
$tag:dweller_light score:1000",ShowImageVisual abyssal_light2,"冷たい光がプライマリーディスプレイで成長し始めます。微妙な脈動があなたの注意を引きます。

""キャプテン、私は-"" それはあなたの航法士官で、センサーをちらりと見てうなずきます。""光が動いています。近づいています。""

あなたは意識的にその快適さのない光から目をそらします - 減少していますが、プライマリーディスプレイのわずかな媒体を通してその呼びかけを失ってはいません。

それはあなたに来ました。",abyssalLight_dwellerCont:続ける,
abyssalLight_dwellerContSel,DialogOptionSelected,$option == abyssalLight_dwellerCont,,"""$PlayerSirOrMadam!"" あなたのセンサー士官の声は緊張しています。""光から拾っています - 彼らはどこからともなく現れました！"" 

航法が中断します。""$ShipOrFleetドライブバブルが赤に、安定性が増加しています...保持中...複数の侵入に警戒。N空間の亀裂がボリューム内で検出されました。""

ブリッジの乗組員がディスプレイ上の警告の噴出を受け入れる間の一時停止。戦術がイニシアティブを取り、戦闘警報を発動してすべての乗組員を戦闘ステーションに送ります。すべてのポストからの慌ただしい活動、応答を調整するステーション間のチャッター。

センサーが低い騒音の中で呼びかけます。""それは私たちのアクティブセンサー放出に向かっています。""","abyssalLight_maxSensors:センサーのスイープを命令します。フルパワーで異常なドライブバブルの侵入に焦点を当てます。
abyssalLight_wait:待つ
abyssalLight_emCon:""最大放出制御に移行せよ！ EMCONゼロゼロアルファ、即時実行。""",
abyssalLight_maxSensorsSel,DialogOptionSelected,$option == abyssalLight_maxSensors,DwellerCMD largeFleet,"""はい、$playerSirOrMadam！ 実行中。"" センサーが吠え、次に巧みに一連のオーバーライドを実行します。

あなたの$shipOrFleetの状態が中央ディスプレイに表示されます - シールドバブルは不安定なアンバー、N空間の亀裂の侵入が派手な赤でマークされています。アクティブセンサーがトリガーされると白い点滅があり、-

ドライブバブルの圧力が急上昇し、アンバーの閃光、警報の騒音...

* * *

隠れた黒さが待ち、潜み、目を覚まします。触手が亀裂を通り抜けて、夜の背後の闇の中で貪欲に飛び出します。",,
abyssalLight_emConSel,DialogOptionSelected,$option == abyssalLight_emCon,DwellerCMD smallFleet,"あなたの命令で、無視されていた多くの船のシステムと機械の合唱が、深いため息と共に静かな静寂に沈みます。

残るのは、あなたのブリッジ乗組員の息と体だけで、共有された人間性の奇妙な主張です。

バックアップのeライトが、単純な化学的なもので、不気味な光を提供します。いくつかの薄暗く脈打つコマンドがあなたのエグゼクティブインターフェースを照らし、最小限の操作からあなたのタッチで目覚める準備ができた熱心なサブシステムの群れです。

* * *

隠れた黒さが影の触れを感じます。かすかなかけら、目覚めるに値しないものです。分散した本能の何らかの類似によって、いくつかの無気力な触手がこの乱れ、夜の背後の闇の中のこの波紋を探ります。",,
abyssalLight_dwellerWaitSel,DialogOptionSelected,$option == abyssalLight_wait,DwellerCMD mediumFleet,"あなたは待ちます。

警報がリセットされ、戦闘制約がかけられます。ブリッジの活動は徐々に静まり、すべての士官、乗組員、システムが準備状態、さらには期待状態に達します - 戦うか逃げるか。

侵入があなたのディスプレイボリュームの中心に近づき、揺るぎなく意図的に拡大しています。

すべての目がコマンドインターフェースに向けられ、すべての注意があなたの次の命令に向けられています。",,
,,,,,,
# Shrouded Substrate - analyzing / making weapons,,,,,,
shroudedSubstrateBegin,ShroudedSubstrateRightClick,!$player.canMakeDwellerWeapons,"ShowImageVisual shrouded_weapon_assembly
SetStoryOption shroudedSubstrateBegin 1 analyzeSubstrate technology ""Analyzed Shrouded Substrate""","あなたは技術士官とエンジニアリングチーフと共に、小さなブリーフィングルームに入ります。そこは「特別なサルベージ」と呼ばれるショップベイを見下ろしています。

ハザードスーツを着た技術者たちが、管やワイヤーのコイルをまたいで、封じ込め機械に取り組んでいます。即席の部品の混乱が、共通のマイクロフォージライブラリから引き出され、分解されて、この異常でさえ特異な用途で動作するように再設計されました。

エンジニアリングはしかめっ面をし、進行中の作業を観察しながらTriPadを叩いています。技術者たちは興奮を抑えることができません。

""$PlayerSirOrMadam、"" 彼らはあなたの到着に合わせて一斉に言います。","shroudedSubstrateBegin:""それで。これは何ですか？""
defaultLeave:離脱する","# The idea that the PC would call a meeting, show up, and then leave without a word is legitimately funny to me. -dgb"
shroudedSubstrateBegin2,DialogOptionSelected,$option == shroudedSubstrateBegin,FireAll shroudedSubstrateBeginOpts,"""エキゾチックマター！"" 技術者が叫びます。

エンジニアリングが中断します。""それは「何であるかはわからない」と「物理学が言うようには行動しない」と言う別の方法です。""

あなたの技術士官が再び始めます。熱意は少し抑えられています。""明らかに、私は- $playerSirOrMadam、"" 技術者はあなたにだけ向き直り、さらなる中断を抑えるためかもしれません。""分析は予備的で進行中です、"" しかめっ面のエンジニアリングチーフをちらりと見て、""慎重に。""",,
shroudedSubstrateOptA,shroudedSubstrateBeginOpts,!$saidWhatIsIt,,,"shroudedSubstrate_optSelA:""それで... これは何ですか？""",
shroudedSubstrateOptGA,shroudedSubstrateBeginOpts,$canSayGA,,,"shroudedSubstrate_optSelAga2:""ガラティアアカデミーは興味を持つと思います。""",
shroudedSubstrateOptB,shroudedSubstrateBeginOpts,!$saidValuable,,,"shroudedSubstrate_optSelB:""それは価値がありますか？""",
shroudedSubstrateOptC,shroudedSubstrateBeginOpts,!$saidUseful,,,"shroudedSubstrate_optSelC:""それは役に立ちますか？""",
shroudedSubstrateOptD,shroudedSubstrateBeginOpts,!$saidDestroyed,,,"shroudedSubstrate_optSelD:""それは破壊できますか？""",
shroudedSubstrateOptE,shroudedSubstrateBeginOpts,!$saidWeaponized,,,"shroudedSubstrate_optSelE:""それは武器化できますか？""",
shroudedSubstrateOptF,shroudedSubstrateBeginOpts,$saidWeaponized,,,"shroudedSubstrate_optSelF:""あなたができることを見せてください。""",
shroudedSubstrateOptSelA,DialogOptionSelected,$option == shroudedSubstrate_optSelA,"$saidWhatIsIt = true 0
$canSayGA = true 0","あなたのエンジニアリングチーフは、期待を込めてテックを見つめるふりをし、口を意図的に閉じています。どうやら彼らはすでにこの議論をしたようです。

""ええと。"" テックはあなたのチーフエンジニアに困惑した表情を向けます。

""実のところ、正確には言えません。残念ながら、私たちは完全な科学調査を行うための設備が整っていません。明らかに、それは私たちが打ち勝った敵勢力の一部、またはその産物です。しかし、それが何であるかを知るには... 正しい質問にアプローチするために、完全な科学チームと実験室の設備が必要です。答えは言うまでもありませんが...""","shroudedSubstrate_optSelAga:""ガラティアアカデミーのように。""
shroudedSubstrate_optSelAtt:""トライ・タキオンのように。""",
shroudedSubstrateOptSelAga,DialogOptionSelected,$option == shroudedSubstrate_optSelAga,,"""はい、正確に。"" テックは頷きます。""ただし...""","shroudedSubstrate_optSelAga2:""ただし？""",
shroudedSubstrateOptSelAga2,DialogOptionSelected,$option == shroudedSubstrate_optSelAga2,unset $canSayGA,"あなたのエンジニアリングチーフが答えます。""はい、公共のアーカイブにはこのようなものはありません。ガラティアアカデミーは中立であるべきです。しかし、あなたも知っているように、$playerSirOrMadam、ヘゲモニーは自分たちが気に入らないものを見ると、いわばコントロールに手を伸ばします。ヘゲモニーは混乱を好みません。そしてこれ...""

作業場の内容を指し示す手が伸ばされます。

テックは同意して頷きます。""技術基準省は確実にそのような標本を押収するでしょう。彼らがそれをどうするかは言えませんが、私たちは二度とそれを見ることはないでしょう。それは確かです。""","shroudedSubstrate_optSelAtt:""では、トライ・タキオン。""",
shroudedSubstrateOptSelAga2b,DialogOptionSelected,"$option == shroudedSubstrate_optSelAga2
$saidTTthen","unset $canSayGA
FireAll shroudedSubstrateBeginOpts","あなたのエンジニアリングチーフが答えます。""はい、公共のアーカイブにはこのようなものはありません。ガラティアアカデミーは中立であるべきです。しかし、あなたも知っているように、$playerSirOrMadam、ヘゲモニーは自分たちが気に入らないものを見ると、いわばコントロールに手を伸ばします。ヘゲモニーは混乱を好みません。そしてこれ...""

作業場の内容を指し示す手が伸ばされます。

テックは同意して頷きます。""技術基準省は確実にそのような標本を押収するでしょう。彼らがそれをどうするかは言えませんが、私たちは二度とそれを見ることはないでしょう。それは確かです。""",,
shroudedSubstrateOptSelAtt,DialogOptionSelected,$option == shroudedSubstrate_optSelAtt,$saidTTthen = true 0,"テックは頷きます。""はい、彼らの施設はこの研究を行うのに十分以上の能力があります。そして、""微笑みながら、""彼らが言うことが本当なら、非常に良い報酬を支払うでしょう。""","shroudedSubstrate_optSelAttA:""彼らは正確に何と言っていますか？""
shroudedSubstrate_optSelAttB:""この『彼ら』とは誰ですか？""",
shroudedSubstrateOptSelAttA,DialogOptionSelected,$option == shroudedSubstrate_optSelAttA,FireAll shroudedSubstrateBeginOpts,"""会社はユニークな標本に対して非常に良い報酬を支払います。""とテックは説明します。""アーティファクト、ドメイン技術、異星生物学。現在のペルセアンセクターに知られていないもの、珍しい原則を示すか、予期しない用途に役立つかもしれないもの。""",,
shroudedSubstrateOptSelAttB,DialogOptionSelected,$option == shroudedSubstrate_optSelAttB,FireAll shroudedSubstrateBeginOpts,"""独立したサルバージャー、スカベンジャー、周辺調査者、""とテックは説明します。

""アーティファクトや標本、ドメイン技術、異星生物学を見つけるかもしれない人々です。現在のペルセアンセクターに知られていないもの、珍しい原則を示すか、予期しない用途に役立つかもしれないもの。トライ・タキオンは、特別な関心のある『例』を持ってくれば大きな報酬が支払われることを知らしめています。""",,
shroudedSubstrateOptSelB,DialogOptionSelected,$option == shroudedSubstrate_optSelB,"$saidValuable = true 0
FireAll shroudedSubstrateBeginOpts","""非常に、""とテックは答え、あなたのチーフエンジニアと目を合わせます。""エネルギー出力比が予測通りにスケールするなら...""

""それは危険です、""とエンジニアリングは言います。""この『基質』で武器を作るのはほとんど簡単すぎます。もしパザーたちが-""

""-はい、はい、別のマイラースです、""とテックは割り込みます。""適用技術として十分に強力であれば、それは... $playerSirOrMadam。あなたの質問に答えると、はい、非常に価値があります。""",,
shroudedSubstrateOptSelC,DialogOptionSelected,$option == shroudedSubstrate_optSelC,"$saidUseful = true 0
FireAll shroudedSubstrateBeginOpts","""非常に、""とあなたの技術士官はエンジニアリングと目を合わせます。""私の専門的な意見です。""

""安定化され、そして... 促されたとき、それはどこか別の場所からエネルギーを生成するようです。あるいはそれを変換し、強化します。増加は驚異的です。""

あなたのチーフエンジニアが前に出ます。""レーザーカッターでのテストは、もし私たちがテストゾーンでバーストプレートのバックを使用していなかったら、船体に穴を開けていたでしょう。""

""見てください、あなたが正しいと言ったことを認めましたが-""テックはあなたの表情を見て黙ります、そして敬意を表する表情をします。",,
