name,secondary,tags,parents,frequency,reusable
$parentの花冠,,"ring, magnetic_field, accretion",,,
$parentのトルク,,"ring, accretion",,,
$parentの冠,,"ring, accretion",,,
リングシステム,,ring,,20,TRUE
降着円盤,,accretion,,20,TRUE
ウロボロス,,asteroid_belt,,,
$parentのガードル,,asteroid_belt,,,
アイアン・ストリーム,,asteroid_belt,,,
ストーン・リバー,,asteroid_belt,,,
$parentのベルト,,asteroid_belt,,,
$parentの壁,,asteroid_belt,,,
$parentの道,,"asteroid_belt, ring",,,
きらめく帯,,"ring, asteroid_belt",,,
$parent's サーキット,,asteroid_belt,,,
$parent's Crown,,asteroid_belt,,,
小惑星帯,,asteroid_belt,,20,TRUE
$parentの混沌,,"asteroid_field, magnetic_field",,,
$parentの群れ,,asteroid_field,,,
ストーン・コンクラーヴ,,asteroid_field,,,
$parentのシールド,,"asteroid_field, magnetic_field",,,
$parent $L 小惑星,,asteroid_field,,20,
小惑星フィールド,,asteroid_field,,,
$parent's Veil,,"nebula, magnetic_field",,,
$parentのクローク,,nebula,,,
$parentの秘密,,"nebula, magnetic_field",,,
$parentの謎,,"nebula, magnetic_field",,,
$parent's Night,,nebula,,,
$parentの暗闇,,nebula,,,
$parent $L 星雲,,nebula,,20,
$parentの海,,nebula,,,
$parentのサルガッソー,,nebula,,,
星雲,,nebula,,,
$parentの渦,,"magnetic_field, accretion",,,
$parent's Confusion,,"magnetic_field, accretion",,,
$parent's Wrath,,"magnetic_field, accretion",,,
$parentの怒り,,"magnetic_field, accretion",,,
$parentのオーラ,,"magnetic_field, accretion",,,
$parent's Madness,,"magnetic_field, accretion",,,
磁場,,magnetic_field,,20,TRUE
フレイヤ,,star,,,
ブリシンガメン,,"ring, asteroid_belt magnetic_field, accretion",Freyja,,
ヴォータン,,star,,,
ドロップニル,,"ring, asteroid_belt magnetic_field, accretion",Wotan,,
ヒルズキャルフ,,planet,Wotan,,
ギュゲスの環,,ring,,,
フェンリル,,planet,,,
ギョル,,moon,Fenrir,,
スレドヴィク,,moon,,,
接触石,,moon,,,
アルカディ,,planet,,,
ロカンノンの世界,,planet,,,
バスラグ,,planet,,,
ブーン,,moon,,,
ザカルウェ,,moon,,,
ダークエンス,,moon,,,
リヴェタ,,moon,,,
エレティオメル,,moon,,,
スタベリンド,,moon,,,
キャッシュ,,moon,,,
ゲド,,moon,,,
おしゃべり,,planet,,,
リガマロール,,planet,,,
スクリムショー,,planet,,,
ハドリア,,planet,,,
ロサス,,planet,,,
オロバス,,star,,,
ささやき,,star,,,
アスモデイ,,star,,,
マラックス,,star,,,
アモン,,star,,,
コマロフ,,star,,,
ニビル,,planet,,,
ブラーヘ,,constellation,,,
ペルセウス,Persei,constellation,,,
チェレンコフ,,constellation,,,
シグナス,Cygni,constellation,,,
サウルス,Sauri,constellation,,,
魚座,Piscum,constellation,,,
カリナ,Carinae,constellation,,,
ドラコ,,constellation,,,
エリシア,,constellation,,,
イルカラ,,constellation,,,
メロピス,Meropi,constellation,,,
ニサ,,constellation,,,
パイティティ,,constellation,,,
ヨミ,,constellation,,,
バルティア,,constellation,,,
連合,,planet,,,
ジェレマイアの世界,,planet,,,
ストラスコナ,,moon,,,
タムシン,,moon,,,
ケテ,,moon,,,
ホロサ,,planet,,,
エーテル,,star,,,
エロス,,"star,planet",,,
アスフォデル,,star,,,
エレバス,,"star, nebula",,,
ニクス,,"star, nebula",,,
アケロン,,star,,,
カロン,,planet,,,
タルタロス,,star,,,
カトン,,star,,,
ボスロス,,planet,"Khthon, Tartarus",,
メガロン,,planet,"Khthon, Tartarus",,
タナトス,,star,,,
ヒュプノス,,planet,Hypnos,,
モルフェウス,,moon,Hypnos,,
フォベトール,,moon,Hypnos,,
ファンタソス,,moon,Hypnos,,
オネイロイ,,"asteroid_belt, ring, magnetic_field",Hypnos,,
レーテ,,"asteroid_belt, ring, magnetic_field","Asphodel,Hypnos,Acheron,Kharon",,
コキュートス,,"asteroid_belt, ring, magnetic_field","Asphodel,Hypnos,Acheron,Kharon",,
オケアヌス星雲,,nebula,,,
エリュシオン,,planet,,,
ミノス,,planet,,,
コラ,,planet,,,
ムネモシュネ,,star,,,
カリオペ,,planet,Mnemosyne,,
マイダン,,moon,Calliope,,
エドナス,,moon,Calliope,,
ビストン,,moon,Calliope,,
クレイオ,,planet,Mnemosyne,,
ヒヤシンス,,moon,Kleio,,
エウテルペ,,planet,Mnemosyne,,
リースス,,moon,Euterpe,,
エラト,,planet,Mnemosyne,,
メルポメネ,,planet,Mnemosyne,,
ポリムニア,,planet,Mnemosyne,,
アグラオペ,,moon,Polymnia,,
レウコシア,,moon,Polymnia,,
リゲイア,,moon,Polymnia,,
モルペ,,moon,Polymnia,,
パセノペ,,moon,Polymnia,,
ペイシノエ,,moon,Polymnia,,
テルクシオペ,,moon,Polymnia,,
テルプシコレ,,planet,Mnemosyne,,
タリア,,planet,Mnemosyne,,
コリバンテス,,"ring, asteroid_belt",Thalia,,
ウラニア,,planet,Mnemosyne,,
リナス,,moon,Urania,,
ダイア,,planet,Mnemosyne,,
ヘリコン,,planet,Mnemosyne,,
アオイデ,,moon,Helicon,,
メレーテ,,moon,Helicon,,
ムネメ,,moon,Helicon,,
パルナッソス,,planet,,,
バンシー,,magnetic_field,,,
セイレーン,,asteroid_belt,,,
オルフェウス,,planet,,,
悲劇,,star,,,
クレテス,,asteroid_belt,,,
$parent's Flock,,"asteroid_belt, asteroid_field",,,
マンギンダサ,,star,,,
バガワシン,,"star,planet",Mangindusa,,
ポロ,,planet,"Mangindusa,Bugawasin",,
セドゥムナドク,,planet,"Mangindusa,Bugawasin",,
タビアコウド,,planet,"Mangindusa,Bugawasin",,
アンガグル,,moon,Tabiacoud,,
バルグ,,"ring, asteroid_belt, magnetic_field","Mangindusa,Bugawasin",,
カラバガン,,"ring, asteroid_belt, magnetic_field","Mangindusa,Bugawasin",,
タリヤカド,,moon,"Polo,Sedumunadoc,Tabiacoud",,
ランギット,,moon,"Polo,Sedumunadoc,Tabiacoud",,
バサド,,planet,"Mangindusa,Bugawasin",,
シドパン,,planet,"Mangindusa,Bugawasin",,
ディブワット,,planet,"Mangindusa,Bugawasin",,
カヴァチャ,,magnetic_field,,,
オーム,,"planet, moon",,,
オギオン,,"planet, moon",,,
モレッドの環,,ring,,,
セリドール,,moon,,,
ナグ,,moon,,,
イェグ,,moon,,,
ロゴグ,,planet,,,
ハスター,,planet,,,
イグ,,planet,,,
ラマ,,star,,,
ハヌマーン,,planet,Rama,,
ヴァナラ,,planet,Rama,,
スラサ,,star,,,
ヴァスキ,,"star,planet",,,
ナガス,,asteroid_belt,"Surasa, Vasuki",,
カリヤ,,planet,"Surasa, Vasuki",,
マナサ,,planet,,,
バクナワ,,planet,,,
カルコタカ,,planet,,,
ムカリンダ,,planet,,,
パドマヴァティ,,planet,,,
真珠川,,"asteroid_belt, ring",,,
ズメイ,,star,,,
ラムヤ,,star,,,
スモク,,star,,,
スティジア,,planet,,,
シメリア,,planet,,,
マゲン,,planet,,,
ジルニトラ,,star,,,
アルコナ,,planet,,,
ヴェド,,moon,,,
コロボックル,,moon,,,
モコシュ,,star,,,
ペルン,,"star,planet",Mokosh,,
モラナ,,planet,Perun,,
ヴェレス,,"star,planet",Mokosh,,
ジャリロ,,planet,Mokosh,,
スヴァログ,,star,,,
ダズボグ,,"star,planet",Svarog,,
インドリック,,moon,,,
ストリボグ,,star,,,
ガマユン,,planet,Stribog,,
シリン,,planet,Stribog,,
アルコノスト,,planet,Stribog,,
シマルグル,,"asteroid_belt, asteroid_field",Stribog,,
ババ・ヤーガ,,planet,,,
ブヤン,,star,,,
コスケイ,,planet,Buyan,,
キテジ,,planet,,,
ネター,,moon,,,
ポントゥス,,star,,,
ティアマト,,star,,,
アプスー,,"star,planet",Tiamat,,
ロタン,,planet,Tiamat,,
バスム,,planet,Tiamat,,
ウスムガル,,planet,Tiamat,,
マスマフ,,planet,Tiamat,,
ムシュス,,planet,Tiamat,,
ラフム,,planet,Tiamat,,
ウガルル,,planet,Tiamat,,
ウリディムム,,planet,Tiamat,,
ギルタブリュル,,planet,Tiamat,,
ウム・ダブルトゥ,,planet,Tiamat,,
クルル,,planet,Tiamat,,
クサリック,,planet,Tiamat,,
ヨー,,star,,,
ラハブ,,planet,Yaw,,
タニン,,planet,Yaw,,
杏子,,star,,,
オーサー,,"star, planet",,,
ホロス,,"star, planet",Ausir,,
ネケン,,"planet, moon",Horos,,
アナパ,,planet,Ausir,,
アトゥアン,,moon,,,
テナール,,moon,,,
コッシル,,moon,,,
運命の車輪,,"asteroid_belt, ring",,,
危険な包囲,,planet,,,
ワールド・ミル,,star,,,
アラ,,moon,,,
デューラーの星,,star,,,
メランコリア,,planet,,,
モスクワ,,planet,,,
グリセウス,,planet,,,
ブレク,,planet,,,
飢えた幽霊,,nebula,,,
煉獄,,star,,,
ヤマ,,"star, planet",Diyu,,
ナイヘ・チャオ,,"ring, asteroid_belt, magnetic_field, accretion",Diyu,,
ユードゥ,,planet,Diyu,,
チンガン,,planet,Diyu,,
ビン・ディユ,,moon,Qinguang,,
チュージアン,,planet,Diyu,,
ヘイシェン・ダディ,,moon,Chujiang,,
ソングディ,,planet,Diyu,,
ウーグワン,,planet,Diyu,,
シュエチ,,moon,Wuguan,,
閻羅,,planet,Diyu,,
ディアンチェン,,planet,Diyu,,
交換,,moon,Diancheng,,
太山,,planet,Diyu,,
ロウジャン,,moon,Taishan,,
ドゥシ,,planet,Diyu,,
メングオ,,moon,Dushi,,
ピンデン,,planet,Diyu,,
アヴィチ,,moon,Pingden,,
地獄,,star,,,
エンマ,,"star, planet",Jigoku,,
ガーゴイル,,moon,,,
馴染みのある,,moon,,,
シュラット,,moon,,,
コボルド,,moon,,,
ユーミング,,nebula,,,
インジャン,,nebula,,,
ソレイン,,planet,,,
グロワン,,planet,,,
サガン,,planet,,,
ロビンソンの月,,moon,,,
モルサンヴェルド,,moon,,,
イッソリル,,planet,,,
アザド,,moon,,,
ゴーメンガースト,,planet,,,
ノール,,moon,,,
カルカソンヌ,,planet,,,
サーク,,moon,,,
ラメウムプトン,,moon,,,
ヴィダール,,planet,,,
ジャハンナム,,star,,,
ザククム,,planet,Jahannam,,
マーリク,,planet,Jahannam,,
ハウィヤ,,planet,Jahannam,,
バルザク,,"ring, asteroid_belt, magnetic_field, accretion, asteroid_field",Jahannam,,
アル・ナール,,star,,,
ジャヒム,,star,,,
ジャナ,,star,,,
トウバ,,planet,Jannah,,
アラフ,,moon,,,
シェオル,,planet,,,
レファイム,,asteroid_belt,Sheol,,
破滅,,planet,,,
アール,,star,,,
ネテル・ハケルテト,,star,,,
エルリグ,,star,,,
カロアグランラー,,"asteroid_belt, asteroid_field",Erlig,,
カラキズラー,,"asteroid_belt, asteroid_field",Erlig,,
カラシュ,,planet,Erlig,,
マティール,,planet,Erlig,,
シャインゲイ,,planet,Erlig,,
コムル,,planet,Erlig,,
バディシュ,,planet,Erlig,,
ヤバシュ,,planet,Erlig,,
テミル,,planet,Erlig,,
Uchar,,planet,Erlig,,
ケレイ,,planet,Erlig,,
ウルガン,,star,,,
メイデレ,,planet,Ulgan,,
ザ・オルドグ,,planet,,,
ヤヴ,,planet,,,
プラヴ,,planet,,,
ナヴ,,planet,,,
アニオックス,,moon,,,
アトリン,,nebula,,,
ザ・チェチドラ,,"asteroid_belt, asteroid_field",,,
コミアケン,,planet,,,
カルタス,,moon,,,
ギンゴルクス,,star,,,
ザ・ネチャコ,,"ring, asteroid_belt",,,
ツィムシアン,,ring,,,
イヴァビク,,planet,,,
ゴースト・ダンス,,magnetic_field,,,
マグ・メル,,planet,,,
ロカ,,planet,,,
シパクトリ,,moon,,,
エヘカトル,,"magnetic_field, ring",,,
スピリット・ウィンド,,magnetic_field,,,
アギエル,,planet,,,
テッシュ,,planet,,,
ロハギ,,planet,,,
シメク,,planet,,,
ベレッド・カイ・ネヴ,,planet,,,
サマエル,,star,,,
アグラト・バット・マフラト,,"star, planet",Samael,,
アママル,,moon,Agrat bat Mahlat,,
ナアマ,,"star, planet",Samael,,
リリス,,star,,,
エイシェス,,star,,,
ゼパール,,planet,,,
ザ・グリゴリ,,"asteroid_belt, asteroid_field",,,
ザ・センティネル,,"asteroid_belt, asteroid_field",,,
スリエル,,moon,,,
オールド・ゴート,,moon,,,
コカブ,,planet,,,
ヤクム,,star,,,
アスビール,,planet,Yaqum,,
ガドリール,,planet,Yaqum,,
ペネミュー,,planet,Yaqum,,
カスダイ,,planet,Yaqum,,
カンブリエル星雲,,nebula,,,
アルマロスの作品,,magnetic_field,,,
ザ・ミリアド,,"asteroid_belt, asteroid_field",,,
ザ・ロスト・リージョン,,"asteroid_belt, asteroid_field, accretion",,,
アル・カタブ,,"magnetic_field, nebula",,,
ザ・アルマダ,,"asteroid_belt, asteroid_field",,,
コーニッド,,moon,,,
ザ・ゲンギリス,,"asteroid_belt, asteroid_field",,,
ニュー・スロチ,,planet,,,
ゼズベス,,star,,,
ザファン,,star,,,
ヴァンス,,planet,,,
ザ・エリニエス,,"asteroid_belt, asteroid_field",,,
チャルン,,planet,,,
カル,,planet,,,
タームス,,planet,,,
アイタ,,planet,,,
アンビル,,moon,,,
ストレイ・ドッグ,,moon,,,
バレファー,,star,,,
ラヴェルナ,,moon,,,
マデラッカ,,star,,,
サラッカ,,planet,Maderakka,,
ジュクサッカ,,planet,Maderakka,,
ウクサッカ,,planet,Maderakka,,
ジャブメ・アッカ,,planet,Maderakka,,
マーン・エモ,,star,,,
アン,,star,,,
キ,,"star, planet",An,,
アヌ,,"planet, moon",Ki,,
ロング,,moon,,,
クイ,,moon,,,
ラン,,moon,,,
フン,,moon,,,
ジンの技術,,magnetic_field,,,
ザ・カリン,,"asteroid_belt, asteroid_field",,,
トゥチュルチャ,,planet,,,
スワンギ,,moon,,,
サージャット,,moon,,,
ザ・インプ,,moon,,,
チャックス,,star,,,
ザ・レイヴン,,moon,,,
ザ・マーダー,,"asteroid_belt, asteroid_field",,,
サレオス,,planet,,,
プルオマン,,planet,,,
インドラニ・サチ,,moon,,,
シヴァスリ,,moon,,,
ザ・ポンティアナク,,nebula,,,
ザ・ポコン,,ring,,,
O トカタ,,moon,,,
オソル,,planet,,,
エンプーサ,,moon,,,
モルモ,,moon,,,
オノスケリス,,planet,,,
マラ,,planet,,,
クランプス,,moon,,,
クロニ,,star,,,
ラヴァナン,,planet,Kroni,,
カリヤン,,planet,Kroni,,
トゥリオタナン,,"asteroid_belt, asteroid_field",Kroni,,
カド,,moon,,,
ザ・マリッド,,"asteroid_belt, asteroid_field",,,
ハントゥ・ラヤ,,planet,,,
トゥユル,,planet,,,
コマン・トン,,moon,,,
コマン・レイ,,moon,,,
クイ・キア,,moon,,,
ジェングロット,,moon,,,
グソイン,,planet,,,
ガル,,moon,,,
ガープ,,star,,,
ゾアヴィッツ,,planet,,,
クラバウターマン,,moon,,,
$parent's ジンクス,,magnetic_field,,,
$parent's ヘックス,,magnetic_field,,,
ザ・ヘカトン,,accretion,,,
グリグリ,,moon,,,
バカーク,,planet,,,
ジャンビーのダンス,,magnetic_field,,,
キガティリク,,star,,,
キキルン,,planet,,,
トゥピラク,,moon,,,
ティズヘルク,,planet,,,
ハイエトリクの流れ,,"ring, magnetic_field",,,
ウンチェギラ,,planet,,,
オケウス,,star,,,
シャピシコ,,planet,,,
アタサヤ,,star,,,
ウェクフェ,,planet,,,
グアリチュ,,star,,,
バビ・ンゲペット,,moon,,,
ロイロ,,planet,Tyle,,
ブラキシル,,planet,Tyle,,
マム,,planet,Tyle,,
ズアネ,,planet,Tyle,,
カプリカ,,planet,Tyle,,
レトゥム,,planet,Corvus,,
パリダ,,moon,Letum,,
ソムナス,,planet,Corvus,,
ノックス,,planet,Corvus,,
モルス,,moon,Nox,,
パクトルス,,"asteroid_belt, ring",Corvus,,
ソコルディア,,planet,Corvus,,
イグナビア,,planet,Corvus,,
サブリエル,,moon,,,
リラエル,,moon,,,
クラリエル,,moon,,,
ランナ,,moon,,,
モスレアル,,moon,,,
キベス,,moon,,,
ディリム,,moon,,,
ベルガー,,moon,,,
アスタラエル,,moon,,,
サラネス,,moon,,,
タンマール,,moon,,,
マイダ,,planet,,,
ベントゥスル,,planet,,,
アスマイダス,,planet,,,
グロクラン,,planet,,,
ノナ,,moon,,,
デシマ,,moon,,,
モルタ,,moon,,,
ラトナ,,planet,Naraka,,
シャルカラ,,planet,Naraka,,
ヴァルカ,,planet,Naraka,,
パンカ,,planet,Naraka,,
ドゥマ,,"nebula, ring, magnetic_field",Naraka,,
タマハ,,"nebula, ring, magnetic_field",Naraka,,
マハタマハ,,"nebula, ring, magnetic_field",Naraka,,
アチュガヨ,,planet,Magec,,
テイデ,,planet,Magec,,
ガラ,,moon,Teide,,
ジョナイ,,moon,Teide,,
チホラジ,,planet,Magec,,
アチュフカナク,,planet,Magec,,
ガニゴ,,moon,Achuhucanac,,
タゴロル,,asteroid_field,Magec,,
ゴロ,,"asteroid_belt, ring",Magec,,
ソセ,,planet,Arcadia,,
ファウヌス,,planet,Arcadia,,
ボナ・デア,,planet,Arcadia,,
ピティス,,planet,Arcadia,,
エコー,,planet,Arcadia,,
ケレイネウス,,planet,Arcadia,,
アルゲノン,,planet,Arcadia,,
アイギコロス,,planet,Arcadia,,
ユージニオス,,planet,Arcadia,,
オメスター,,planet,Arcadia,,
ダフォイヌス,,planet,Arcadia,,
フィラムノス,,planet,Arcadia,,
ザントス,,planet,Arcadia,,
グラウコス,,planet,Arcadia,,
フォルバス,,planet,Arcadia,,
レン,,star,,,
カン・アドミ,,planet,Leng,,
ミカ,,planet,Leng,,
ブン・マンチ,,planet,Leng,,
ミゴイ,,planet,Leng,,
ズーテ,,planet,Leng,,
ミシェ,,planet,Leng,,
サルコマンド,,planet,Leng,,
セレネリアン海,,nebula,Leng,,
ケファロス,,planet,Eos,,
プロクリス,,moon,Kephalos,,
ミニアス,,planet,Eos,,
キメネ,,planet,Eos,,
アルケシウス,,planet,Eos,,
アストレウス,,planet,Eos,,
ボレアス,,moon,Astraeus,,
ノトゥス,,moon,Astraeus,,
エウルス,,moon,Astraeus,,
ゼファイロス,,moon,Astraeus,,
トシ,,planet,Aztlan,,
コアトリクエ,,planet,Aztlan,,
センテオトル,,planet,Aztlan,,
チコメコアトル,,planet,Aztlan,,
テスカトリポカ,,planet,Aztlan,,
サンティコ,,planet,Aztlan,,
チャンティコ,,planet,Aztlan,,
マヤウエ,,moon,Chantico,,
ミクスコアトル,,planet,Aztlan,,
センツォン・ウイツナウティン,,"ring, asteroid_belt, asteroids",Mixcoatl,,
トラロック,,planet,Aztlan,,
アニージョ,,ring,Aztlan,,
トヒル,,planet,Aztlan,,
デニエン,,planet,Canaan,,
エクウェシュ,,planet,Canaan,,
ペレセット,,planet,Canaan,,
シェルデン,,planet,Canaan,,
テレシュ,,planet,Canaan,,
ウェシェシュ,,planet,Canaan,,
ティケル,,planet,Canaan,,
ブル・ムース,,planet,,,
ミノー,,moon,,,
ウィル・オー・ウィスプ,,moon,,,
スティンジー・ジャック,,moon,,,
真鍮の街,,planet,,,
サラフ,,planet,Nachash,,
ハラ,,planet,Nachash,,
ハゾール,,planet,Nachash,,
ゲゾール,,planet,Nachash,,
ニンギシュジダ,,planet,Nachash,,
アジムア,,planet,Nachash,,
ネフシュタン,,planet,Nachash,,
オベロン,,star,,,
シムネア,,planet,Oberon,,
ファイエラ,,planet,Oberon,,
クラリッサ,,planet,Oberon,,
リガ,,planet,Oberon,,
サワル,,star,,,
ダラ,,planet,Sawal,,
マンドール,,planet,Sawal,,
ジュルト,,planet,Sawal,,
コルウィン,,planet,,,
マーリン,,moon,Corwin,,
ブランド,,planet,,,
ジャスラ,,moon,Brand,,
ルーク,,moon,Brand,,
モルガンテ,,"star, planet",,,
マーチン,,planet,,,
モルガンナ,,star,,,
モロノエ,,planet,Morganna,,
マゾエ,,planet,Morganna,,
グリテン,,planet,Morganna,,
グリトネア,,planet,Morganna,,
タイロノエ,,planet,Morganna,,
タイテン,,planet,Morganna,,
ポモルム,,planet,Morganna,,
バシリア,,planet,,,
メンテノモン,,nebula,,,
スロック,,planet,,,
グリムネビュリン,,moon,,,
ウィーバー,,star,,,
シャイニング・トール,,planet,Westernesse,,
ヴァニン,,planet,Westernesse,,
マナウ,,planet,Westernesse,,
モナビア,,planet,Westernesse,,
クシャグ,,planet,Westernesse,,
エア,,planet,Westernesse,,
ネブ,,"ring, asteroid_belt",Westernesse,,
ドゥー,,"ring, asteroid_belt",Westernesse,,
ケテル,,"ring, magnetic_field",Zagan,,
ゾハル,,"ring, magnetic_field",Zagan,,
ビナー,,planet,Zagan,,
ネツァハ,,planet,Zagan,,
イエソド,,planet,Zagan,,
ホド,,planet,Zagan,,
シムハ,,planet,Zagan,,
エメト,,planet,Zagan,,
グリムスネス,,planet,Thule,,
アルフル,,moon,Grimsnes,,
グレンスダル,,planet,Thule,,
トロール,,moon,Grensdalur,,
アスキャ,,planet,Thule,,
ヴォファ,,moon,Askja,,
スルトセイ,,planet,Thule,,
サル,,moon,Surtsey,,
クロッサ,,"ring, asteroid_belt",Thule,,
フヴィタ,,"ring, asteroid_belt",Thule,,
オルフサ,,"ring, asteroid_belt",Thule,,
グレンデル,,planet,Thule,,
モドール,,moon,Grendel,,
キラル・ウィスプ,Chira,constellation,,,
アヴィス,,constellation,,,
マキュラタス,Maculata,constellation,,,
デイノス,Deina,constellation,,,
ヴズグリメティ,,constellation,,,
バルウォム,,constellation,,,
スピラ,,constellation,,,
ザランヤ,,constellation,,,
モトリー,Motley,constellation,,,
モイル,,constellation,,,
プリズム,Prisma,constellation,,,
アルクス,,constellation,,,
ウェロ,,constellation,,,
エイコーン,,moon,,,
ホープ,,constellation,,,
ワンダー,,constellation,,,
コンフルエンス,Conflux,constellation,,,
シーラス,,constellation,,,
オルウィン,,constellation,,,
パンテオン,,constellation,,,
アイ,,constellation,,,
ファロス,,constellation,,,
テンペスト,,constellation,,,
プレシピス,Precipice,constellation,,,
アルコン,,constellation,,,
サバジオス,Sabazio,constellation,,,
テラー,,constellation,,,
絶望,,constellation,,,
放棄,,constellation,,,
レギオン,,constellation,,,
ゴルゴタ,,constellation,,,
ブロスト,,star,,,
ウズ,,constellation,,,
フル,,star,,,
トガール,,star,,,
メシャ,,constellation,,,
ム,,constellation,,,
ナーカル,,star,,,
ザフラ,,constellation,,,
フラフ,,constellation,,,
ジル,,moon,,,
スワング,,star,,,
トロアノ,,constellation,,,
メイダ,,constellation,,,
ボルンダ,,planet,,,
ブラジール,,planet,,,
マム,,star,,,
フラームダレン,,planet,,,
アスマイダ,,constellation,,,
チャゴス,Chago,constellation,,,
アイガー,,moon,,,
ラーン,,constellation,,,
ヴィグリッド,Vigri,constellation,,,
フリム,,planet,,,
ノグ,,"planet, moon",,,
グリラ,,constellation,,,
コルモラン,,constellation,,,
モルヴァ,,constellation,,,
ゼンノール,,constellation,,,
マドロン,,constellation,,,
アトス,,constellation,,,
カドモス,,star,,,
エキオン,,planet,Cadmus,,
ライウス,,planet,Cadmus,,
スパルトイ,,"ring, asteroid_belt",Cadmus,,
ベルロフォン,,constellation,,,
シリクス,,"star, planet, moon",,,
テレファッサ,,"star, planet",,,
テレフェ,,moon,,,
アグリオペ,,"star, planet, moon",,,
シェヴァル,,constellation,,,
フェラガット,,"star, planet, moon",,,
クロニ,,constellation,,,
カプレ,,"star, planet, moon",,,
ジパクナ,,"star, planet, moon",,,
ムボンボ,,"constellation, star",,,
バサン,,"constellation, star",,,
ウェンディゴ,,"constellation, star",,,
アブラクサス,,"constellation, star, planet",,,
ヴァサゴ,,"constellation, star, planet",,,
ウコバク,,"constellation, star, planet",,,
ヴァラク,,"constellation, star, planet",,,
トヨル,,"constellation, star, planet",,,
ソラス,,"constellation, star, planet",,,
シェディム,,"constellation, star, planet",,,
ラウム,,"star, planet, moon",,,
オセ,,"star, planet, moon",,,
レンポ,,"star, planet, moon",,,
リリン,,"star, planet, moon",,,
キラケーキャット,,moon,,,
イポス,,"star, planet, moon",,,
ハントゥ・ラヤ,,"nebula, star, planet",,,
ザ・ポロン,,moon,,,
ペレシット,,moon,,,
ブルークロウ,,"star, planet, moon",,,
マラソン,,"constellation, star",,,
マズ,,"constellation, star",,,
スヴァルガ,,"constellation, star",,,
スンダ,,"constellation, star",,,
ガルボダカ,,"nebula, constellation",,,
ピトルロカ,,"star, planet",,,
ダラールの星,,star,,,
カルダシェフ,,"constellation, star",,,
ヒーロー,,"constellation, star",,,
ヴェクナ,,"constellation, star",,,
