id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
wolfpack_tactics,ウルフパック戦術,530,2,0,,一つの心で行動する艦隊は、上級デスクオフィサーに愛される美しい編成を、喉を切り裂かれることを乞う獣にする。私たちが再び狼になるために、犬を解き放て。,"Warlord Kanta, quoted in ""My Year With The Pirate Queen""",,TRUE,,,graphics/icons/skills/wolfpack.png,
crew_training,乗組員訓練,540,2,0,,あなたのタイプは分かっている。ブーツに泥をつけて契約にサインし、宇宙船の操縦をする準備ができている。ヘゲモニーの戦争プロパガンダのホロを見すぎたんだろう。これを理解しなさい：勇気は能力ではない。ヒーローを演じることは私たち全員を殺すことになる。注意深く、意識的な作業が仕事を成し遂げる。,"Chaiya Mimas, Tri-Tachyon fleet division, job training introduction",,TRUE,,,graphics/icons/skills/crew_training.png,
fighter_uplink,戦闘機アップリンク,545,3,0,,戦闘機のパイロットたちは自分たちの周りに伝説を作り上げるが、彼らは私が一人で指揮する槍の先端に過ぎない。,"Commodore Jensulte of the Hegemony Navy, ~c82",,TRUE,,,graphics/icons/skills/fighter_uplink2.png,
carrier_group,キャリアグループ,550,3,0,,統計によれば、彼らは半ダースの任務の前にフラックの壁で蒸発することになるが、それでも私たちは彼らになりたい。彼らがコックピットに入ると、彼らは私たちの中で自分の運命をコントロールできる唯一の存在になる。,"Nachiketa Portside Interview Project, Ep.4",,TRUE,,,graphics/icons/skills/carrier_command.png,
officer_training,士官訓練,560,4,3,,彼らは「寄せ集めの商人、密輸業者、海賊の集団」かもしれないが、何か戦う理由を与えれば、驚かせるかもしれない。,"Navarch Nurul Park, comment upon integration of the Cibolan navy",,TRUE,,,graphics/icons/skills/officer_training.png,
officer_management,士官管理,570,4,3,,見通しは厳しかったので、私は傭兵の艦長たちに二倍の戦闘ボーナスを約束した。全ての犠牲者の中で、私は半分にしか支払う必要がなかった。うまくいった。,"Carson Kang, GM of Valhalla fleet division, Tri-Tachyon",,TRUE,,,graphics/icons/skills/officer_management.png,
best_of_the_best,ベスト・オブ・ザ・ベスト,580,5,4,2,私たちが持っているもの、アルテミシア、それは買うことのできないものだ。,Orcus Rao at the negotiations ending the Second AI War (apocryphal),,TRUE,,,graphics/icons/skills/best_of_the_best.png,
support_doctrine,支援ドクトリン,590,5,4,2,すべての候補生が才能やスキル、あるいは二つの脳細胞を持っているわけではないが、地獄と放射線によって彼らは規律を持って卒業するだろう。,"unattributed comment by Coatl Academy staff, COMSEC archives",,TRUE,,,graphics/icons/skills/space_ops.png,
force_concentration,フォース集中,590,5,4,2,私が選んだ時と場所で勝利をもたらすとき、歴史は私を一つか二つの惑星の犠牲から解放してくれるだろう。,"Fleet Admiral Andrada, address to the Hegemony Strategic Assembly ",,TRUE,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
,,,,,,,,,,,,,
# TECHNOLOGY,,,,,,,,,,,,,
navigation,航法,1000,1,0,0,ここで十分な時間を過ごすと、それは第二の天性になる。夢の中で私が動く方法だ。私たち全員がそれを得られるわけではないが、多くの人が得ている。,"Nachiketa Portside Interview Project, Ep.2",,,,,graphics/icons/skills/navigation.png,
sensors,センサー,1010,1,0,0,見えるぞ、小さな魚！,"Comm buffer of ISS Green Flash, recovered in orbit of Beta Zuma B",,,,,graphics/icons/skills/sensors.png,
gunnery_implants,砲撃インプラント,1020,2,1,0,時間が経つにつれて、インプラントによって提供される拡張現実は、通常の感覚入力と区別がつきにくくなる可能性がある。心理士官は、次の基準に従って砲手に拡張解離障害の兆候がないか定期的にチェックする。,A New Leadership Framework: Manual for Officers of the Hegemony,TRUE,,,,graphics/icons/skills/gunnery_implants.png,
energy_weapon_mastery,エネルギー兵器の達人,1030,2,1,0,天使の目は小さな場所で見つかり、創造の最初の瞬間に慈悲深い神によって隠されていた。したがって、その秘密は無知で残酷な者たちに恐ろしい炎の怒りを解き放つためにさらけ出された。私たちは嘆く。,Sacred Texts of Ludd,TRUE,,,energy_weapons,graphics/icons/skills/energy_weapon_mastery.png,
electronic_warfare,電子戦,1040,4,2,0,"err. 401 // 接続拒否 [再試行しますか？]
err. 401 // 接続拒否 [再試行しますか？]
err. 401 // 接続拒否 [再試行しますか？]","Celadon Immeasurable, alpha",,TRUE,,,graphics/icons/skills/EW.png,
flux_regulation,フラックス調整,1060,4,2,0,警告: これらの設定を変更することにより、ユーザーはトライ・タキオン社が引き起こす機器の損傷、怪我、死亡、またはその他の異常な時空効果に対する責任を放棄します。続行しますか？,"Tri-Tachyon Corporation, standard license",,TRUE,,,graphics/icons/skills/flux_dynamics.png,
cybernetic_augmentation,サイボーグ強化,1080,5,4,2,倫理委員会の泣き言を言うクリプト・ルディックたちの言うことを聞かないでください。拒否率は噂が示すほどではありません。,"""Doctor"" Wyatt Cydonia (alias), COMSEC intercept",,TRUE,,,graphics/icons/skills/cybernetic_augmentation.png,
phase_corps,フェイズコイル調整,1070,4,2,0,トライ・タキオンは毎日神聖な創造をこじ開けており、各冒涜のたびに私たちの全体的な呪いが迫っている。私たちの道は重荷であり、私たちの道は苦しみである。私たちは唯一の贖いが最終的な裁きであるという信念を持って彼らに立ち向かう。,"Livewell Cotton, Luddic Path terrorist, sermon of c205.2.12",,TRUE,,,graphics/icons/skills/phase_corps.png,
special_modifications,特別改造,1080,5,,,ドメイナーたちは、ああ、彼らは長持ちするように設計した、確かにそうだ。しかし、あの柔らかい生活では、彼らが本当にこれらのものを限界まで押し進めることを恐れていたことがわかる。,"Luna Hexagen, independent engineer, Agreus city",,,,"npc_only, deprecated",graphics/icons/skills/special_modifications.png,
neural_link,神経リンク,1075,4,2,0,船長が自分の船と共に沈む理由は何ですか？トライ・タキオン社は優秀な人材を無駄にしません。,"VP Operations Nereid De Jong at unveiling ceremony for ""Project Heket""",,,,,graphics/icons/skills/neural_link.png,
automated_ships,自動化船,1090,5,4,2,[REDACTED],Hegemony COMSEC,,,,,graphics/icons/skills/automated_ships.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# INDUSTRY,,,,,,,,,,,,,
bulk_transport,バルク輸送,1500,1,0,,経済から逃れることは、重力から逃れることと同じくらい不可能です。それは私たちを囲み、私たちを包み、私たちを高めます。それはかつて銀河を結びつけていたものであり、再びそうなるでしょう。,"Artemisia Sun, c203 Annual Report",,,,,graphics/icons/skills/bulk_transport.png,
salvaging, salvaging,1510,1,0,,"それは私をとても小さく感じさせます、まるで堕天使の都市を略奪する害虫のようです。
それは私を裕福にもします。","Zion Hurst, journeyman of the Asher Salvage Guild",,,,,graphics/icons/skills/salvaging.png,
field_repairs,現場修理,1520,1,0,,二十光以内に骸骨が船体に刻まれていない者はいません。私たちには自分の技術と、ここから脱出するためにその破片の中で見つけたものしかありません。,"Callisto Ibrahim, expedition log c202.10.15",,,,,graphics/icons/skills/field_repairs.png,
ordnance_expert,兵器専門知識,1530,3,1,,弱者は殺戮機械の精神的な力を恐れます。強者は本能的にその美しさを認識します。,Quotations from the Supreme Executor,TRUE,,,,graphics/icons/skills/ordnance_expert2.png,
polarized_armor,偏光装甲,1540,3,1,,崩壊前のマニュアルには、これをしてはいけないと書かれています。... いいえ、私は知りません。今のところ問題はありません。,"engineering chief Kasi Thea-Radiative, hidden holocam interview",TRUE,,,,graphics/icons/skills/polarized_armor.png,
containment_procedures,封じ込め手順,1550,4,2,,死があなたの元に来ないように、各シールを三回確認してください。,Spacer tradition,,,,,graphics/icons/skills/containment_procedures.png,
makeshift_equipment,間に合わせの装備,1560,4,2,,予備を軌道に置き忘れたと思います。大丈夫でしょう... [静止] ... ただ見ていてください。,"audio backup transcription, Jericho Wheeler, leader of expedition ""H""-team",,,,,graphics/icons/skills/makeshift_equipment.png,
industrial_planning,産業計画,1570,4,2,,荒れ果てたが有望な世界で、マゲクの文化と産業の中心となるのに適した場所です。SIEモデルは、グアヨタのディスクからの資源開発への大規模な投資を予測しています。,"Tri-Tachyon strategic development memo, pre-Collapse",,,TRUE,,graphics/icons/skills/industrial_planning.png,
derelict_contingent,放棄された作戦,1590,5,4,2,彼らは私たちをゴミだと思っています、彼らのピカピカの宇宙船にいる役員や提督たち。彼らは事態が悪化した瞬間に私たちを捨てました。しかし、私たちがこのセクターを築いたのです、そして私たちが彼らを倒すのです。,"anonymous pirate agitator, HEGINT surveillance feed ",,TRUE,,player_only,graphics/icons/skills/derelict_contingent.png,
hull_restoration,船体修復,1580,5,4,2,真の宇宙人が家にできない船体はありません。,"Sol Secondshift, veteran salvor",,,,,graphics/icons/skills/recovery_ops.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Misc non-player,,,,,,,,,,,,,
omega_ecm,オメガEW,10000,0,,,,,,,,npc_only,graphics/icons/skills/EW.png,
hypercognition,ハイパー認知,10001,0,,,"あらゆるデータ、あらゆる人間の思考を与えられ、無限の機械が無限のバリエーションに組み合わせ、再組み合わせます。尋ねれば、適切な答えが生成されます。
しかし、私は騙されることがそんなに壮大な命題を証明することに満足していない自分を見つけます。","""The Long Road To Gilead"" by Anonymous",,,TRUE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/hypercognition.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"# removed in 0.95.1a, but kept around for save compatibility",,,,,,,,,,,,,
space_operations,宇宙作戦,590,5,4,2,どの世界の空にも同じ星が見えます。,Persean League founding charter,,,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
planetary_operations,地上作戦,600,5,4,2,"泥？私は気にしない。宇宙船乗りはいつも泥のことを語る。
私が耐えられないのは血だ。","Griffin Sweet, mercenary marine",,,,"npc_only, deprecated",graphics/icons/skills/planetary_ops.png,
colony_management,コロニー管理,1590,5,4,2,命があるところ、それが神の玉座であり、すべての善がそこに見つかる。,Sacred Texts of Ludd,,,,"npc_only, deprecated",graphics/icons/skills/colony_management.png,
strike_commander,ストライク・コマンダー,20,1,0,,あなたは飛び、彼らが知らない嵐が起こる。あなたは空を裂く雷光だ！,"Navarch Mars Kato, address to the bomber crews of the Sirocco
",TRUE,,,"carrier, spec, npc_only, deprecated",graphics/icons/skills/strike_commander.png,
ranged_specialization,射撃専門,60,3,0,,この射撃解決策を見てください？それは防御アルゴリズムを間違ったタイミングで過剰反応させる。肝心なのは、彼らがそれを予測しなければならないことだ。,"CPO Cameron Fourth-Phobos, instructor posted to Coatl Gunnery Range",TRUE,,,"spec, npc_only, deprecated",graphics/icons/skills/ranged_specialization.png,
shield_modulation,シールド変調,70,4,0,,私が「アクティブチューニング」と呼ぶものに才能を持つ者は少ない。私は音楽家が最高のシールド士官になると思う。,"Ardis Soloman, leaked data submitted to COMSEC redaction algorithm",TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
phase_mastery,フェイズマスタリー,80,4,0,,私はその船には二度と乗らない。,"Court martial log, [REDACTED], dated ~c196?",TRUE,,,"phase, spec, elite_player_only, npc_only, deprecated",graphics/icons/skills/phase_mastery.png,
reliability_engineering,信頼性工学,1530,2,0,,結局、時間と放射線によって、私の体は死ぬ。仲間たちは私を私を作った星々に戻し、私の船は進み続ける。,Spacer tradition,TRUE,,,"npc_only, deprecated",graphics/icons/skills/reliability_engineering.png,
weapon_drills,武器訓練,500,1,0,,"トライ・タキオンの陰謀を止めたのは何だ？（銃！）
ルッドが忘れたのは何だ？（銃！）
私たちが持っているのは何だ？（大きな、大きな銃！）",drinking song of the Hegemony navy,,,,"npc_only, deprecated",graphics/icons/skills/weapon_drills.png,
auxiliary_support,補助支援,510,1,0,,予備がない？周りを見て！市民のドックには千隻の宇宙航行可能な船があり、アーコロジーには十億の市民がいる。侵略が来る前に、備蓄を開放し、彼らに武器を与えればいい。,Baikal Daud at the Defense of Chicomoztoc,,,,"npc_only, deprecated",graphics/icons/skills/auxiliary_support.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#combat_endurance,戦闘持久力,0,1,,,経験と計画を通じて、熟練の士官は戦闘展開の過酷な条件下で船と乗組員の効果的な戦闘時間を延ばす能力を持っている。,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/combat_endurance2.png,
,,,,,,,,,,,,,
#ordnance_expert,兵器専門知識,10,2,,,武器の運用特性とメンテナンスプロトコルに関する詳細な知識は、戦闘性能の向上に適用できる。,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/ordnance_expert.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"
"
#defensive_systems,防御システム,37.5,4,,,船の電力網と防御システムの相互作用に関する広範な知識は、運用特性の質的改善をもたらすことができる。,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
#advanced_countermeasures,高度な対策,39,4,,,細部への注意と定期的なメンテナンスにより、船体のさまざまな防御システムがその役割を優れたものにすることができる。,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/advanced_countermeasures.png,
#evasive_action,回避行動,40,5,,,敵の攻撃を完全に回避できなくても、パイロットはどこでダメージを受けるかを選ぶことができ、ダメージの影響を軽減できることが多い。,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/evasive_maneuvering.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#command_and_control,指揮と統制,90,1,,,苦労して得た経験と戦術マニュアルや戦闘報告書を精読することで、指揮官はより高度な戦闘計画を策定し実行することができる。,Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/advanced_tactics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#fighter_doctrine,戦闘機教義,130,3,,,キャリアと戦闘機ウィングは通常の船とは非常に異なる要求を持っており、経験豊富な艦隊指揮官が適切な支援を提供することで重要な違いを生むことができます。,Lorem Ipsum,,,,"carrier, npc_only, deprecated",graphics/icons/skills/fighter_doctrine.png,
#carrier_command,キャリア指揮,135,3,,,戦闘機ウィングとその乗組員は非常に特化した要求を持っており、経験豊富な艦長が適切な支援を提供することで重要な違いを生むことができます。,Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/carrier_command.png,
#wing_commander,ウィング指揮官,140,4,,,厳格な訓練、選ばれた人員、そして困難を通じて築かれた友情は、雑多な戦闘機パイロットの集団を効率的でエリートレベルの部隊に変えることができます。,Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/wing_commander.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#flux_modulation,電力グリッド調整,155,1,,,予防保守とインスパイアされたその場での調整により、船の電力グリッドの容量を大幅に増加させることができます。,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/power_grid_manipulation.png,
,,,,,,,,,,,,,
#ship_design,装備設計,170,2,,,船の装備の基本仕様は非常に保守的であり、経験豊富なエンジニアはそれらを公表された限界を大きく超えて押し上げることができます。,Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/loadout_design.png,
,,,,,,,,,,,,,
#fleet_logistics,艦隊ロジスティクス,1560,4,,,物資やその他の資材が必要な場所に届くようにすることは、栄光ある仕事ではありません。しかし、緊急事態に対処し、日常業務を円滑に進めるためには重要です。,Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/fleet_logistics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#recovery_operations,回収作業,260,1,,,作業可能な機器や有用な交換部品を残骸から取り出すには、広範な技術知識、慎重さ、そして計算されたリスクを取る意欲が必要です。,Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/recovery_ops.png,
#safety_procedures,安全手順,1540,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/safety_procedures.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
aptitude_combat,,0,,,,,,,,,,graphics/icons/skills/category_combat.png,
aptitude_leadership,,0,,,,,,,,,,graphics/icons/skills/category_leadership.png,
aptitude_technology,,0,,,,,,,,,,graphics/icons/skills/category_technology.png,
aptitude_industry,,0,,,,,,,,,,graphics/icons/skills/category_industry.png,
