id,type,text1,text2,text3,text4,text5,notes
bomb,WEAPON,"試行済みの武器システムである爆弾ベイは、発射機の速度に依存して目標に到達する複数の弾頭を保持しています。

各爆弾ベイには、1つずつ発射できる非誘導の高爆発性Comp-X爆弾がいくつか装備されています。爆弾には推進システムがなく、発射機の速度に依存して目標に運ばれます（すなわち、ダイブボム）。設計に内在する大気シールドにより、敵のポイントディフェンス環境においても爆弾の生存時間が長くなります。",,,,,
lightneedler,WEAPON,"小さなフレシェットを高い発射速度で連続して発射します。発射量はシールドプロジェクターをすぐに圧倒することができますが、装甲に対しては一般的に効果がありません。

ライトニードラーは、無薬莢弾薬を発射するために設計された小口径のフレシェットガンです。毎秒数百の「ニードル」を供給できる印象的な給弾システムを備えています。排出システムは必要なく、節約されたスペースは追加の冷却ユニットを提供するために使用され、発射速度が大幅に向上します。

ドメイン海軍の教義では、この武器は敵のシールドに対して長距離で使用されるべきとされていますが、緊急時には砲撃士官が敵の戦闘機ウィングや長距離ミサイルの脅威に対してニードラーを向けることがあります。",,,,,
railgun,WEAPON,"オートキャノンのハイテク改良版であるレールガンは、正確な中距離の弾丸を発射します。ACと同様に、敵のシールドジェネレーターを圧倒するのに優れています。

ガウスキャノンの小型版であるレールガンは、強力な磁場を利用して高速度で弾薬を発射します。精度と射程は優れており、発射していないときでも砲塔は素早く回転できます。

レールガンは、十分なフラックス容量を持つ砲撃士官に好まれています。",,,,,
shredder,WEAPON,"操作の容易さと信頼性を考慮して設計された回転式キャノンです。一方、ペルシアンセクターのプロフェッショナルな海軍の武器士官たちは、メンテナンスが不十分な習慣を助長するためにサンダーを呪っています。

小さな弾薬を持つ中速の破片弾によって、敵のミサイルや戦闘機を粉砕します。フラックス効率は高いものの、この武器システムは装甲やシールドに対してはほとんど効果がありません。",,,,,
flak,WEAPON,"戦闘機やミサイルに対して最大の効果を発揮するために近接信管を装備した破片弾を発射する防御武器システムです。

特にストライク役割において、小型で安価な戦闘機の重要性が高まったため、崩壊前の華やかな時代にこの武器システムが広く展開されました。近接信管を装備した弾道弾を発射します。その結果、爆発は標準的なターゲットに対して尊敬すべき殺傷半径を持つ広範囲にフレシェットを放出します。新しいモデルには、Mark VI予測器にハードワイヤードされた火器管制システムが搭載されています。",,,,,
heavymg,WEAPON,"普及している連射式機関銃のカテゴリーの大きな従兄弟であるヘビーマシンガンは、小型および中型のターゲットに対して効果的です。

この武器システムは、セクター全体のパトロール艦の作業馬であり、古代地球の時代にさかのぼるとされる信頼性の高いブローバック発射機構を備えています。安全機能には、オープンボルトクリアリングのためのポジティブクックオフ安全装置と二重ラム防止が含まれています。この武器は、長時間の連射中に反動を吸収するために、比較的大きなベースに取り付けられています。口径は中程度の範囲で変化し、弾薬は標準的な鍛冶場で簡単に製造できます。

重い弾薬は軽い弾薬のように衝撃で粉砕されず、フリゲート級の艦船に対して信頼できる脅威をもたらします。非常に正確ですが、バルカンキャノンよりも発射速度は遅いです。ポイントディフェンスの役割に優れています。",,,,,
arbalest,WEAPON,"そのサイズに対して高い一発あたりのダメージを持つ古風な武器設計です。運動エネルギー弾は特に敵のシールドに対して効果的です。

崩壊時の重巡洋艦は主にアーバレストMk I武器プラットフォームを装備しており、これがアーバレストがセクターで最も回収された艦船武器システムの1つとされる理由かもしれません。原始的な冷却システムと自動排出装置の欠如は、発射速度と信頼性を妨げます。

唯一の救いは、敵のシールドを破壊するのに効果的なアーバレスト弾の設計図が広く存在することです。弾薬の効果はよく理解されておらず、弾薬ジャケットの意図しない電磁特性に起因していると考えられています。",,,,,
dualflak,WEAPON,"フラックキャノンのアップグレードされた非常に効果的なデュアルマウントです。「ウィドウメーカー」というニックネームは、敵の戦闘機を引き裂く能力に由来します。

標準的なフラックキャノンと同様に、この武器は小型の戦闘機やミサイルターゲットを壊滅させますが、2つの近接信管付き弾薬を発射します。形状分散により二重爆発が保証され、より高い殺傷半径が得られます。明らかな理由から、デュアルフラックを装備した艦船に対して意図的に戦闘機が発進されることはほとんどありません。優れた発射速度と砲塔の回転速度を誇ります。",,,,,
chaingun,WEAPON,"GA-XインダストリーズMk. IIチェインガンは、近距離戦闘において優れた性能を発揮し、精度よりも全体的なダメージと発射量が重要です。

「近接戦闘」キャプテンのお気に入りのツールであるアサルトチェインガンは、高爆発性の成形炸薬弾を恐ろしい速度で目標に届けます。電動給弾および排出システム、そしてバレルに内蔵された先進的なナノ冷却ユニットを備えています。

唯一の欠点は、重い砲塔プロファイルであり、付随するガバナーブループリントがないため、通常は互換性のない回転装置に取り付けられ、予期しない低い砲塔回転速度を引き起こします。",,,,,
heavymauler,WEAPON,"装甲プレートを貫通するために設計された高度な武器システムです。持続的な発射速度は低いですが、一発あたりのダメージは高いです。

ヘビーマウラーは、中距離から長距離のターゲットに対して攻撃するために設計された残忍な武器です。この武器の中心には、ナノ冷却システムと外部排出ポートを備えたオートキャノンがあります。しかし、通常のオートキャノンとは異なり、ヘビーマウラーは標準的な宇宙船燃料の微量で供給される反物質バレルチャージャーによって特徴付けられています。

発射室を離れると、各弾薬のオジーブは反陽子の場で充電され、弾薬の前方10〜20ナノメートルに浮遊し、バリオンコーティングによって安定化されます。ターゲットに衝突すると、この反陽子の「シース」は構造的完全性を失い、その結果の反応がさらなるダメージを引き起こします。弾薬がすでにターゲットに対して印象的な破壊力を提供することを考えると、組み合わさった反応はヘビーマウラーを装甲ターゲットに対して特に効果的にします。",,,,,
heavyac,WEAPON,"中距離で標準化された弾薬を発射する三連装砲です。敵のシールドに対して最も効果的です。

中口径の三連装自動砲で、通常は中口径の弾薬を使用します。電気点火式の発射信管により、正確な発射回数が保証されます。優れた火力支援兵器で、通常は駆逐艦や巡洋艦クラスの艦に装備されます。適切な発射ソリューションを持つ重自動砲のバッテリーは、主力艦に対して深刻な脅威をもたらす可能性があります。

複雑なオートローダーと冷却システムを収容するために必要な追加の質量は、非常に悪い旋回率をもたらします。",,,,,
hveldriver,WEAPON,"敵のシステムを遠くからオーバーロードし、無効化するために設計された特殊な武器です。高速度のデュラニウム弾はシールドに対しても効果的です。

ハイパーヴェロシティドライバーは、磁化された鉄コバルトコアを持つデュラニウム弾を非常に高い速度に加速するために2段階のプロセスを使用します。化学薬品が最初に弾を加速し、その後磁気コイルが引き継ぎ、さらに弾を加速し、その飛行を安定させます。弾が目標に到達する頃には高い電荷を持ち、衝突した艦に対してかなりの量の電磁干渉を生成します。",,,,,
heavyneedler,WEAPON,"より重いベースを持つライトニードラーのデュアルマウントで、この高度な武器システムはシールドプロジェクターを迅速に圧倒することができます。

ヘビーニードラーは、小型のフレシェット弾を発射する高度な武器です。ライトニードラーの改良版で、より良い給弾および冷却システムを備えており、さらに高い発射速度を実現しています。弾薬はライトバージョンと同じで、薬莢なしのタングステンジャケットフレシェットです。",,,,,
gauss,WEAPON,"ターゲットのシールドをオーバーロードするために設計された長距離武器です。発射される重い運動エネルギー弾は、最も重い装甲を除いてすべてに対して効果的です。

磁気コイルを使用して、大きな超密度複合弾を相対論的速度まで加速します。通常は数百ギガアンペアの範囲で評価され、1テラアンペアを超えることはほとんどありません。そして、ほとんどの弾道兵器とは異なり、発射時には非常に高いフラックス負荷があります。このシステムを搭載した砲塔は、非常に低い旋回速度を持っています。

非常に効果的な武器ですが、通常は大きな弾道兵器マウントを備えた艦船の低い反応炉出力によってその有用性が制限されます。",,,,,
hephag,WEAPON,"良好な運用範囲を持つ大型弾道砲システムで、その高爆発性成形炸薬弾は重装甲を引き裂くように設計されています。生のダメージ出力は、より弱いシールドエミッターを圧倒するのにも役立ちます。

ヘファイストスアサルトガンは、ナノフォージの遠い前身に関連する古代地球の神にちなんで名付けられた、真に壊滅的な武器プラットフォームです。典型的なシャーシは、装甲を破壊する弾を高い発射速度で発射する2つのL/89バレルを備えています。電磁エジェクター、動力供給システム、ナノ冷却材により、武器はフラックスポールによってのみ制限される長時間の発射が可能です。

ヘゲモニーの士官の間には、ヘファイストスの反動のドン・ドンという音を「ヘゲモニー海軍の心臓の鼓動」と表現する伝統があり、乗組員は「ウーラ！」と元気よく応じます。類似のテーマの飲みゲームが港側のバーで行われ、踏み鳴らしや不可避の破損した飲み物の容器により、経営者を悩ませています。",,,,,
mark9,WEAPON,"シールドに対して最も効果的に使用される威圧的な中距離自動砲で、Mark IXは無装甲の船体を完全に破壊するのにも優れています。2つのバレル設計と独自のダブルローダーシステムにより、大量の重口径弾の発射が可能です。

Mark IXの設計図は、ペネロペの星の重力井に捕らえられた漂流する廃船の中で、ペルセアンセクターによって再発見されました。資格のない評価者によるファイルの急いだ調査の後、歴史的な報告はMark IXがその時代に好まれた重装甲艦に対する性能が悪いために時代遅れと見なされ、設計図はオークションにかけられ、小さな傭兵組織であるタクティスタに購入され、忘れ去られました。数サイクル後、武器試験のためのプロトタイプを最終的に構築するために十分な余剰資本が見つかりました。Mark IXは一般的に特に優れたものではなく、装甲目標に対して過度に大きく平凡と見なされました。それでも、生のダメージ出力は印象的で、二次試験ではシールド目標に対して壊滅的な効果を示しました。

その後、Mark IXは長く秘密のままではありませんでした。タクティスタコンバインは、ペルセアンセクター全体で製造権を利益を上げて販売し、すぐにその重い親会社から再購入しました。",,,,,
mjolnir,WEAPON,"優れたダメージを提供し、重要なEMPペイロードを伴う洗練された中距離砲システムです。

ミョルニルは、伝統的に理解される砲ではなく、技術的には磁気重力プロジェクターです。各弾薬には少量のエキゾチックな凝縮物質と孤立したミクロシンギュラリティが含まれており、衝撃時に破壊的に結合し、一時的な重力レンズを通じてエネルギーをチャネルします。局所的な効果は通常の物質の壊滅をもたらし、目標艦内の武器やシステムを無効化する強力な電磁パルス（EMP）を放出します。",,,,,
multineedler,WEAPON,"ほとんどのシールドプロジェクターを簡単に圧倒する運動エネルギー弾の降り注ぎを発射します。

ストームニードラーは、薬莢なしの小口径フレシェット弾を発射する大型弾道兵器システムです。中型冷却システムの実用的な限界に達したため、薬莢なしの弾薬の設計者は、ストームニードラーの高度なナノ冷却リサイクラー、バレルごとの磁気ライフリング、自動操作を使用してより大きな武器への道を切り開きました。インテリジェントオートローダーは、マガジンからちょうど適切な量の弾薬をアンパックして装填し、ホスト艦が十分なフラックス容量を持っている限り、長時間の運用を可能にします。",,,,,
hellbore,WEAPON,"遅いプラズマ充填弾を発射する巨大な砲です。弾は装甲に対して非常に効果的で、下に残された船体構造を完全に破壊します。

製造が非常に複雑であるため、巨大な高爆発性成形炸薬弾を安全に発射できるバレルを製造することが難しいため、めったに展開されない恐れられた武器プラットフォームです。このような弾が目標に衝突すると、ノイマン効果により弾頭が溶融金属のジェットを目標の装甲に押し出し、小さな領域を蒸発させ、船体の破損、減圧、スパルによる広範な内部損傷を引き起こします。",,,,,
reaper,WEAPON,"強力なオンボードエンジンを搭載した、壊滅的な威力を持つ単一の誘導されていない魚雷です。

典型的なストライク兵器である単一のリーパー魚雷は、強化されたAM触媒核弾頭のための大型自走式装甲無誘導配達システムです。驚くほどコンパクトな起爆装置の背後にある科学は、セクター内ではあまり理解されていませんが、ドメイン当局によって秘密と分類されている物理学に基づいていると広く推測されています。知られていることは、これらのうちの3つまたは4つがPDアークをすり抜けるだけで、最大の主力艦を破壊するのに十分であるということです。",,,,,
atropos,WEAPON,"高度な誘導魚雷のラックです。ペイロードは通常よりも小さく、先進的な誘導パッケージと操縦システムの反応質量のためのスペースを確保しています。

アトロポス魚雷は、射程が延長された大型の誘導魚雷です。各ラックには、別々に発射可能な2つの魚雷が搭載されており、ストライク艦長に最大の柔軟性を提供します。魚雷弾頭に通常使用されるAM触媒核弾頭は、起爆装置からのバリオン干渉が誘導システムを妨害するため、ここでは欠落しています。代わりに、より小型でありながら依然として強力な化学弾頭が使用されています。",,,,,
atropos_single,WEAPON,"単体の高度な誘導魚雷です。ペイロードは通常よりも小さく、先進的な誘導パッケージと操縦システムの反応質量のためのスペースを確保しています。

アトロポス魚雷は、射程が延長された大型の誘導魚雷です。魚雷弾頭に通常使用されるAM触媒核弾頭は、起爆装置からのバリオン干渉が誘導システムを妨害するため、ここでは欠落しています。代わりに、より小型でありながら依然として強力な化学弾頭が使用されています。

このマウントには、単体の魚雷のみが搭載されています。",,,,,
swarmer,WEAPON,"短距離の誘導ミサイルランチャーです。ミサイルは機敏なターゲットを迎撃するために設計されており、主にフリゲートや戦闘機などの小型艦艇に対して効果的です。

小型ミサイルのバーストを発射します。シンプルな赤外線システムが効果的な追尾を提供し、化学マイクロスラスターが卓越した操縦性を提供します。数世代にわたる実世界の応用で磨かれた進化的なターゲティングアルゴリズムにより、ミサイルはターゲットをリードすることができ、ほとんど外すことはなく、回避が非常に困難です。",,,,,
swarmer_fighter,WEAPON,短距離の誘導ミサイルランチャーです。ミサイルは敵の戦闘機を迎撃して破壊するために設計されています。,,,,,
annihilator,WEAPON,"広い弧をカバーする無誘導ロケットの散布を発射します。通常、シールドがダウンした後に敵の装甲を剥がすために使用されます。

中距離から長距離のロケットが小型ポッドから発射され、狭い散布で5発のミサイルを1回のサルボで発射し、命中率を向上させます。ロケットは小型で無誘導であり、余分なスペースはより大きな弾頭と改良された推進システム、さらに厚い装甲に使われています。

複数のロケットで命中する可能性が高いため、大型ターゲットに対して効果的です。ロケット攻撃は、魚雷攻撃の前にポイントディフェンスシステムの効果を減少させるためのスクリーンとしてよく使用されます。サルボの後は数秒間のリロードが必要です。",,,,,
annihilator_fighter,WEAPON,無誘導ロケットのサルボを発射します。通常、シールドがダウンした後に敵の装甲を剥がすために使用されます。,,,,,
annihilatorpod,WEAPON,"無誘導ロケットの流れを発射します。敵の装甲に対処するのに役立ち、またフラックスコストがないため持続的な圧力をかけることができます。

小型ランチャーに見られる中距離から長距離のロケットと同じものを特徴としています。ロケットは無誘導であり、余分なスペースはより大きな弾頭と改良された推進システム、さらに厚い装甲に使われています。

複数のロケットで命中する可能性が高いため、大型ターゲットに対して効果的です。ロケット攻撃は、魚雷攻撃の前にポイントディフェンスシステムの効果を減少させるためのスクリーンとしてよく使用されます。",,,,,
heatseeker,WEAPON,"ターゲットのエンジンに向かってホーミングし、強力なEMPバーストで無効化します。戦闘用のオートローダーシステムが、長期戦での有用性を保証します。

サラマンダーミサイルは、2つの設計上の考慮事項を持つ特殊な武器です。最初は、敵のエンジンにホーミングするための非常に高度な追尾/ターゲティングメカニズムであり、他のすべての潜在的な衝突点やポイントディフェンスの脅威を回避します。

2つ目は、運動エネルギーや爆発力でターゲットを破壊しようとするのではなく、高い強度のターゲット電磁場を生成する特別な弾頭設計です。このような電磁場が無防御のエンジンや船体部品の近くに生成されると、すぐにすべての電子機器を無効化し、修理されるまで使用できなくなります。",,,,,
salamanderpod,WEAPON,"ターゲットのエンジンに向かってホーミングし、強力なEMPバーストで無効化します。戦闘用のオートローダーシステムが、長期戦での有用性を保証します。

外部に取り付けられたポッドが、より一般的なミサイルラックを置き換え、ほぼ同時に2発のミサイルを発射できるようにします。オートローダーは、短い待機時間の後に次の2発のミサイルのサルボを抽出、装填、準備します。

サラマンダーミサイルは、2つの設計上の考慮事項を持つ特殊な武器です。最初は、敵のエンジンにホーミングするための非常に高度な追尾/ターゲティングメカニズムであり、他のすべての潜在的な衝突点やポイントディフェンスの脅威を回避します。

2つ目は、運動エネルギーや爆発力でターゲットを破壊しようとするのではなく、高い強度のターゲット電磁場を生成する特別な弾頭設計です。このような電磁場が無防御のエンジンや船体部品の近くに生成されると、すぐにすべての電子機器を無効化し、修理されるまで使用できなくなります。",,,,,
harpoon,WEAPON,"中距離、高ペイロードの誘導ミサイルラックです。シールドがダウンした艦船に対して壊滅的な効果があります。

3発の中距離ミサイルを搭載したラックです。優れた推進システムが、大型の弾頭を亜光速でターゲットに届けます。機動性を犠牲にして速度と弾頭サイズを優先した中距離ミサイルは、セクターで使用される非ストライク武器の中で最高の威力を持つものの一つです。1発の命中はフリゲートサイズの艦船にとってほぼ致命的です。

この武器システムは、複数のミサイルを収容する発射ラックを特徴としています。",,,,,
harpoonpod,WEAPON,"中距離、高ペイロードの誘導ミサイルポッド。シールドがダウンした艦船に対して壊滅的な効果を持つ。

外部に取り付けられたポッドは、一般的なミサイルラックの代わりとなり、ほぼ同時に複数のミサイルを発射することができる。オートローダーは、短い待機時間の後に次のミサイルのサルボを抽出、装填、起爆する。

これらの中距離ミサイルは、単発または三連ラックから発射されるものと同一であり、シールドがダウンした艦船を仕留めるのに最適な方法である。優れた推進システムは、大きな弾頭を亜光速で目標に届ける。機動性を犠牲にして速度と弾頭のサイズを優先した中距離ミサイルは、セクターで使用される非ストライク兵器の中で最高の威力を持つものの一つである。一発の命中は、フリゲートサイズの艦船にとってほぼ致命的である。
",,,,,
harpoon_single,WEAPON,"中距離、高ペイロードの誘導ミサイル。シールドがダウンした艦船に対して壊滅的な効果を持つ。

優れた推進システムは、大きな弾頭を亜光速で目標に届ける。機動性を犠牲にして速度と弾頭のサイズを優先した中距離ミサイルは、セクターで使用される非ストライク兵器の中で最高の威力を持つものの一つである。一発の命中は、フリゲートサイズの艦船にとってほぼ致命的である。

このマウントは、一度に一発のミサイルしか発射できず、船体に埋め込まれた戦闘用の弾薬庫に単発の予備を搭載している。",,,,,
sabot,WEAPON,"範囲内に入ると、高速の運動エネルギー貫通弾の2段階目を発射する。シールドに対して大きなダメージを与え、敵の船体や装甲に衝突した際には大規模なEMPダメージを与える。PDで止めるのは難しい。

サボットクラスのミサイルは短距離の二段階KE兵器である。誘導ミサイルの第一段階は、シールドを持つターゲットの攻撃距離内に二次アセンブリを投影する。搭載されたターゲティングコンピュータがKE貫通弾の推進剤を点火する。この「サボット」と呼ばれるものは、通常、ウラン濃縮物のような超高密度材料から製造された狭い横安定型の弾頭である。

敵のシールドを破壊し、オーバーロードを引き起こすのに優れている。標準的な船体装甲は間隔があり、シールドが時間内に下げられた場合、サボットは装甲に衝撃を受ける際により管理しやすいダメージを与える。

この武器システムは、複数のミサイルを収容する発射ラックを備えている。",,,,,
sabotpod,WEAPON,"範囲内に入ると、高速の運動エネルギー貫通弾の2段階目を発射する。シールドに対して大きなダメージを与え、敵の船体や装甲に衝突した際には大規模なEMPダメージを与える。PDで止めるのは難しい。

ポッドは、一般的なミサイルラックの代わりとなり、ほぼ同時に複数のミサイルを発射することができる。オートローダーは、短い遅延の後に次のミサイルのサルボを抽出、装填、起爆する。

サボットクラスのミサイルは短距離の二段階KE兵器である。誘導ミサイルの第一段階は、シールドを持つターゲットの攻撃距離内に二次アセンブリを投影する。搭載されたターゲティングコンピュータがKE貫通弾の推進剤を点火する。この「サボット」と呼ばれるものは、通常、ウラン濃縮物のような超高密度材料から製造された狭い横安定型の弾頭である。

敵のシールドを破壊し、オーバーロードを引き起こすのに優れている。標準的な船体装甲は間隔があり、シールドが時間内に下げられた場合、サボットは装甲に衝撃を受ける際により管理しやすいダメージを与える。

この武器システムは、複数のミサイルを収容する発射ラックを備えている。",,,,,
sabot_single,WEAPON,"範囲内に入ると、高速の運動エネルギー貫通弾の2段階目を発射する。シールドに対して大きなダメージを与え、敵の船体や装甲に衝突した際には大規模なEMPダメージを与える。PDで止めるのは難しい。

サボットクラスのミサイルは短距離の二段階KE兵器である。誘導ミサイルの第一段階は、シールドを持つターゲットの攻撃距離内に二次アセンブリを投影する。搭載されたターゲティングコンピュータがKE貫通弾の推進剤を点火する。この「サボット」と呼ばれるものは、通常、ウラン濃縮物のような超高密度材料から製造された狭い横安定型の弾頭である。

敵のシールドを破壊し、オーバーロードを引き起こすのに優れている。標準的な船体装甲は間隔があり、シールドが時間内に下げられた場合、サボットは装甲に衝撃を受ける際により管理しやすいダメージを与える。

このマウントは、一度に一発のミサイルしか発射できず、船体に埋め込まれた戦闘用の弾薬庫に単発の予備を搭載している。",,,,,
sabot_fighter,WEAPON,"範囲内に入ると、高速の運動エネルギー貫通弾の2段階目を発射する。シールドに対して大きなダメージを与え、敵の船体や装甲に衝突した際には大規模なEMPダメージを与える。PDで止めるのは難しい。

サボットクラスのミサイルは短距離の二段階KE兵器である。誘導ミサイルの第一段階は、シールドを持つターゲットの攻撃距離内に二次アセンブリを投影する。搭載されたターゲティングコンピュータがKE貫通弾の推進剤を点火する。この「サボット」と呼ばれるものは、通常、ウラン濃縮物のような超高密度材料から製造された狭い横安定型の弾頭である。

敵のシールドを破壊し、オーバーロードを引き起こすのに優れている。標準的な船体装甲は間隔があり、シールドが時間内に下げられた場合、サボットは装甲に衝撃を受ける際により管理しやすいダメージを与える。

このマウントは、一度に一発のミサイルしか搭載できない。",,,,,
breach,WEAPON,重装甲で高速、優れた誘導性能を持ち、小型の特殊な対装甲弾頭を搭載したミサイル。,,,,,
breachpod,WEAPON,重装甲で高速、優れた誘導性能を持ち、小型の特殊な対装甲弾頭を搭載したミサイル。,,,,,
pilum,WEAPON,"長距離支援に適した二段階ミサイルで、後方の戦闘艦からの支援に使用される。第二段階は最高速度が高く、ポイントディフェンスシステムを突破する可能性が高まる。

技術的に成熟した武器システムであるピルムクラスミサイルは、慎重な艦長による長距離攻撃の明白な選択肢である。弾頭は、アクティブシールドにスポット故障を引き起こす装置と、これらの隙間を通過するためのEMPジェネレーターで構成されている。どちらの装置も、ミサイルの大型燃料タンクによって課せられた制約のため、特に効果的ではない。

戦闘用のオートローダーシステムは、長期戦においても継続的に、もし控えめであっても有用性を確保する。",,,,,
pilum_large,WEAPON,"長距離支援に適した二段階ミサイルで、後方の戦闘艦からの支援に使用される。第二段階は最高速度が高く、ポイントディフェンスシステムを突破する可能性が高まる。「カタパルト」発射システムは、より高い火力集中を生み出す。

技術的に成熟した武器システムであるピルムクラスミサイルは、慎重な艦長による長距離攻撃の明白な選択肢である。弾頭は、アクティブシールドにスポット故障を引き起こす装置と、これらの隙間を通過するためのEMPジェネレーターで構成されている。どちらの装置も、ミサイルの大型燃料タンクによって課せられた制約のため、特に効果的ではない。

戦闘用のオートローダーシステムは、長期戦においても継続的に、もし控えめであっても有用性を確保する。",,,,,
phasecl,WEAPON,低速の接近信管を展開し、印象的な爆風半径とポイントディフェンスの攻撃を受け流す能力を持っています。特に戦闘機に対して壊滅的ですが、装甲目標にも効果的です。,,,,,
phasecl_bomber,WEAPON,低速の接近信管を展開し、印象的な爆風半径を持っています。特に戦闘機に対して壊滅的ですが、装甲目標にも効果的です。,,,,,
typhoon,WEAPON,このシンプルでありながら強力な武器システムは、発射管と通常は標準のリーパー級魚雷を数発搭載するマガジンで構成されています。,,,,,
